subject_id,success_rate,attempt_count,baseline_ability_logit
gpt-4-0125,0.48823529411764705,170,-0.04706751085798574
gpt-4-0314,0.5235294117647059,170,0.09418721505970128
gpt-4-1106,0.3119402985074627,670,-0.7910637910318377
gpt-4-turbo,0.5294117647058824,170,0.11778303565638346
gpt-4o-2024-05-13,0.4233576642335766,685,-0.3090048419206023
gpt-4o-2024-08-06,0.27,500,-0.9946225751440619
gpt-4o-mini,0.10315186246418338,349,-2.162684252084043
gpt-5-2025-08-07,0.739010989010989,728,1.0408344880012983
gpt-5-mini,0.574793875147232,849,0.30143744752026624
gpt-5-nano,0.32744405182567726,849,-0.7197680959653732
gpt-5.1,0.5100286532951289,349,0.04011999378942514
gpt-oss-120b,0.41585535465924894,719,-0.3398111378867277
gpt-oss-20b,0.201949860724234,718,-1.374151974294165
gpt2,0.17105263157894737,152,-1.578185368929996
kimi-k2,0.712,500,0.9051174312760297
llama-3.3-70B-instruct,0.004545454545454545,220,-5.389071729816501
minimaxm2,0.6175243393602226,719,0.4790534647656536
o1,0.7,170,0.8472978603872034
o1-preview,0.6472346786248132,669,0.6069059229768801
o3,0.43410852713178294,129,-0.26510775041324197
o3-2025-04-16,0.6416666666666667,720,0.5826053061601216
o3-mini,0.424,500,-0.30637420546393357
o4-mini,0.646,500,0.6015025906488275
openai/gpt-oss-120b,0.34210526315789475,114,-0.6539264674066639
openai/gpt-oss-20b,0.3157894736842105,114,-0.7731898882334818
qwen2.5-coder-32b-inst,0.06944444444444445,720,-2.5952547069568657
qwen2_5coder32b,0.002,500,-6.212606095751519
qwen3-coder-30b,0.3466933867735471,499,-0.6336057868689287
qwen3-coder-30b-a3b-instruct,0.475,720,-0.10008345855698265
qwen3-coder-480b,0.5531062124248497,499,0.21322909425703127
qwen3-coder-480b-a35b-instruct,0.6875,720,0.7884573603642703
