"","M2","df","p","RMSEA","RMSEA_5","RMSEA_95","SRMSR","TLI","CFI"
"stats",27577.5661951176,5992,0,0.0322389984124675,0.0318497568607455,0.0326199765418383,0.128827993980213,0.967306488069716,0.96848463264378
"stats",56995.905624857,5992,0,0.0495566037354691,0.0491785524067708,0.0499212079805765,0.154817652971888,0.914528294649023,0.917608356103112
"stats",423974.214956084,5992,0,0.141866129448606,0.141483663373149,0.142208007736012,0.13889472627521,0.432932667217195,0.453367526056215
"stats",51819.4710789773,5992,0,0.0469745647176089,0.0465957400114789,0.0473407187669409,0.144680618431267,0.917533018034976,0.920504801168851
"stats",67155.9674143892,5992,0,0.0542684781198854,0.0538914347714243,0.0546306606131016,0.114403749960548,0.877363156820726,0.88178250252088
"stats",48720.5312906574,5992,0,0.0453585122128964,0.044979102825157,0.0457257373327966,0.151192043875821,0.929009550526258,0.931567764921708
"stats",63883.145068681,5992,0,0.0527965918177845,0.0524192815356355,0.0531594823767975,0.1593202819537,0.911196008765835,0.914396152594093
"stats",78549.7789361561,5992,0,0.0591073935165666,0.0587309840821863,0.0594674950397659,0.157664973419423,0.885990087228106,0.890098552553219
"stats",64889.6448408666,5992,0,0.0532535768275453,0.0528763536807219,0.0536162432619126,0.123270742250047,0.869166525570377,0.873881245369642
"stats",27846.6341560018,5992,0,0.0324393085739536,0.0320503268485924,0.0328199684286163,0.143369115420655,0.964924780802418,0.966188752665394
"stats",54523.5031882319,5992,0,0.0483405614306167,0.0479621685266788,0.0487058727911828,0.168601530274642,0.934723195978513,0.937075513240548
"stats",47148.9587994729,5992,0,0.0445165455960134,0.0441367962737241,0.0448843641321426,0.129697902944898,0.919288098100153,0.922196635105553
"stats",103955.033776229,5992,0,0.0686801020091267,0.0683041665262745,0.0690368812110581,0.109402479478851,0.747612211010113,0.756707266469208
"stats",68112.7513143921,5992,0,0.054691290139438,0.0543143163739012,0.0550532763817848,0.146996805635363,0.897276091064447,0.900977853548611
"stats",54305.7427238663,5992,0,0.0482319876461469,0.0478535623505782,0.0485973640471013,0.0930095824981384,0.883237165755797,0.887444835458291
"stats",46500.754842926,5992,0,0.0441645963512362,0.0437846971623431,0.0445326707181588,0.107214554374075,0.889666311413524,0.893642300191415
"stats",55183.3857647026,5992,0,0.0486680949929481,0.0482897978820335,0.0490332120851868,0.16805902346427,0.929608035526794,0.932144682895198
"stats",59774.3075366278,5992,0,0.0508884864816051,0.0505107675853027,0.0512523582248453,0.154683467010097,0.919442991098435,0.922345946374167
"stats",42145.7352900622,5992,0,0.0417230843067538,0.0413420047657263,0.0420930740288951,0.154387502397081,0.942665132014674,0.944731253383515
"stats",46741.1002920051,5992,0,0.0442954206819145,0.0439155777522604,0.0446633994018038,0.126592798622438,0.918297010542097,0.921241262414454
"stats",46340.9807108918,5992,0,0.0440774135714431,0.0436974765235642,0.0444455520475484,0.130265882804622,0.920738546537922,0.92359481513115
"stats",47438.1061248121,5992,0,0.0446726469191743,0.0442929625716382,0.0450403534823606,0.191353999779631,0.952423957890094,0.954138409858019
"stats",45392.5124056297,5992,0,0.0435562772336142,0.0431761076204217,0.0439248051884291,0.138764010754238,0.931604892125564,0.934069580697616
"stats",49476.4967282914,5992,0,0.0457580009002377,0.0453787440454511,0.0461249532212731,0.163129434686327,0.939407553940453,0.941591065510167
"stats",42479.0750664701,5992,0,0.041914987748325,0.0415340106181963,0.0422848173079549,0.138562845913391,0.932512061463748,0.934944059248838
"stats",48110.250469132,5992,0,0.0450334251667645,0.0446538875581347,0.0454008763717465,0.119668969149144,0.90236694105971,0.905885249489991
"stats",76541.9792653049,5992,0,0.058283854277612,0.0579073601023995,0.0586442864679438,0.169954134184451,0.909954321160992,0.913199210488524
"stats",58467.767727495,5992,0,0.0502665662241569,0.0498886972500587,0.0506307748117686,0.174967613061627,0.932719634260769,0.935144151945066
"stats",34232.0832645069,5992,0,0.0368750658815682,0.0364907089012974,0.0372497881376852,0.13505698024061,0.945560021068414,0.947521822110994
"stats",55306.2930508425,5992,0,0.0487288569705676,0.0483505773159292,0.049093938339175,0.186419081443444,0.946240520842407,0.948177799370608
"stats",56777.4567328429,5992,0,0.0494503647976284,0.0490722851397154,0.049815029306045,0.169936518246474,0.933494732868012,0.935891319070967
"stats",38091.5838241183,5992,0,0.0393142069390966,0.0389316792374331,0.0396863690956156,0.0896099151691081,0.901903713791534,0.905438715096344
"stats",60055.309578127,5992,0,0.0510212544819676,0.0506435664994612,0.0513850554488765,0.143825006538482,0.906214977472808,0.909594617924238
"stats",40419.7560321578,5992,0,0.0407149754097197,0.0403333278874456,0.0410858364122655,0.130658667657317,0.930676804060083,0.933174937247107
"stats",39318.5775489863,5992,0,0.0400585455328714,0.0396764994212067,0.0404300024674702,0.153938177275564,0.952061797922885,0.953789300700439
"stats",52357.5818231356,5992,0,0.0472495498638003,0.0468708164391418,0.0476155298887727,0.126892254046578,0.898199977931869,0.901868447195586
