method,image_id,clip,dinov2,vlm_score
dsd_diffusion,28092,0.70947265625,0.6029075384140015,85
diptych,28092,0.7978515625,0.7948510646820068,90
easy_control,28092,0.7314453125,0.7000109553337097,90
dsd_diffusion,28950,0.65380859375,0.3042343258857727,75
diptych,28950,0.83837890625,0.6680079698562622,90
easy_control,28950,0.79052734375,0.7592532634735107,90
dsd_diffusion,29355,0.8349609375,0.9118618965148926,90
diptych,29355,0.841796875,0.903958261013031,90
easy_control,29355,0.78857421875,0.8872355222702026,85
dsd_diffusion,29359,0.83447265625,0.8591440916061401,90
diptych,29359,0.8291015625,0.8557966351509094,90
easy_control,29359,0.81982421875,0.878158450126648,90
dsd_diffusion,29635,0.79443359375,0.7899227738380432,90
diptych,29635,0.7744140625,0.7133785486221313,90
easy_control,29635,0.80126953125,0.666420578956604,90
dsd_diffusion,29681,0.92529296875,0.9349863529205322,85
diptych,29681,0.92431640625,0.921113908290863,90
easy_control,29681,0.94140625,0.9151854515075684,75
dsd_diffusion,30032,0.77978515625,0.6026930212974548,85
diptych,30032,0.82666015625,0.8729233741760254,90
easy_control,30032,0.82177734375,0.8481892347335815,85
dsd_diffusion,30278,0.8876953125,0.8339042067527771,85
diptych,30278,0.859375,0.8108904361724854,90
easy_control,30278,0.8701171875,0.6890727281570435,85
dsd_diffusion,30634,0.8369140625,0.8581992387771606,85
diptych,30634,0.79736328125,0.8759618997573853,90
easy_control,30634,0.888671875,0.8075786232948303,85
dsd_diffusion,3065,0.857421875,0.8251991868019104,85
diptych,3065,0.7314453125,0.8195576667785645,90
easy_control,3065,0.8623046875,0.8643367290496826,85
dsd_diffusion,30793,0.77197265625,0.6339137554168701,85
diptych,30793,0.71240234375,0.5197499394416809,85
easy_control,30793,0.72802734375,0.6876478791236877,90
dsd_diffusion,31120,0.8984375,0.9158592820167542,85
diptych,31120,0.88623046875,0.8929544687271118,90
easy_control,31120,0.91259765625,0.9172707796096802,85
dsd_diffusion,31163,0.8232421875,0.6808610558509827,85
diptych,31163,0.822265625,0.5552631616592407,75
easy_control,31163,0.80419921875,0.321095198392868,75
dsd_diffusion,31286,0.81689453125,0.8120557069778442,75
diptych,31286,0.814453125,0.8125293254852295,90
easy_control,31286,0.79638671875,0.7285342216491699,75
dsd_diffusion,32072,0.845703125,0.942075490951538,85
diptych,32072,0.82421875,0.9556080102920532,90
easy_control,32072,0.84521484375,0.916404128074646,90
dsd_diffusion,3235,0.8984375,0.811043918132782,85
diptych,3235,0.82373046875,0.7748309969902039,85
easy_control,3235,0.8759765625,0.864969789981842,85
dsd_diffusion,32408,0.693359375,0.557847261428833,90
diptych,32408,0.7880859375,0.5407117009162903,90
easy_control,32408,0.7451171875,0.5203630328178406,85
dsd_diffusion,3279,0.8427734375,0.8666701316833496,90
diptych,3279,0.7353515625,0.8093234300613403,90
easy_control,3279,0.84326171875,0.8970447182655334,90
dsd_diffusion,33829,0.837890625,0.7990932464599609,90
diptych,33829,0.7421875,0.7679439783096313,90
easy_control,33829,0.77587890625,0.847183346748352,90
dsd_diffusion,34970,0.7255859375,0.7283309102058411,85
diptych,34970,0.7734375,0.8056430816650391,90
easy_control,34970,0.7900390625,0.7476637363433838,85
dsd_diffusion,353,0.794921875,0.5517728328704834,85
diptych,353,0.80322265625,0.6379193663597107,90
easy_control,353,0.7861328125,0.6217131614685059,85
dsd_diffusion,36829,0.8115234375,0.7908707857131958,90
diptych,36829,0.83935546875,0.8530125617980957,90
easy_control,36829,0.81787109375,0.8318333625793457,85
dsd_diffusion,37600,0.7451171875,0.58905029296875,90
diptych,37600,0.83642578125,0.8340027332305908,95
easy_control,37600,0.8427734375,0.7928193807601929,90
dsd_diffusion,3792,0.67578125,0.7830550670623779,85
diptych,3792,0.8056640625,0.8219670057296753,90
easy_control,3792,0.71142578125,0.7843292951583862,90
dsd_diffusion,38048,0.77978515625,0.893318235874176,95
diptych,38048,0.63134765625,0.8419251441955566,85
easy_control,38048,0.71826171875,0.8831299543380737,85
dsd_diffusion,38414,0.7255859375,0.6153817176818848,85
diptych,38414,0.658203125,0.5688916444778442,90
easy_control,38414,0.724609375,0.6579700708389282,85
dsd_diffusion,3978,0.830078125,0.7892913222312927,85
diptych,3978,0.861328125,0.7570591568946838,90
easy_control,3978,0.87744140625,0.8388538360595703,85
dsd_diffusion,43442,0.853515625,0.6623673439025879,85
diptych,43442,0.86962890625,0.7643346786499023,85
easy_control,43442,0.85498046875,0.629076361656189,85
dsd_diffusion,44739,0.7724609375,0.6008133292198181,90
diptych,44739,0.818359375,0.5185376405715942,95
easy_control,44739,0.7900390625,0.7567020654678345,90
dsd_diffusion,46355,0.8759765625,0.8776150941848755,85
diptych,46355,0.89111328125,0.9262425899505616,85
easy_control,46355,0.93017578125,0.921763002872467,85
dsd_diffusion,56087,0.87890625,0.7673592567443848,85
diptych,56087,0.892578125,0.644162654876709,90
easy_control,56087,0.88818359375,0.8117367029190063,85
dsd_diffusion,56331,0.806640625,0.7947016954421997,90
diptych,56331,0.80810546875,0.7074077725410461,90
easy_control,56331,0.8720703125,0.8411343097686768,90
dsd_diffusion,56602,0.87353515625,0.7251081466674805,85
diptych,56602,0.89697265625,0.7962926626205444,85
easy_control,56602,0.86572265625,0.8062280416488647,85
dsd_diffusion,57351,0.84765625,0.4711553454399109,85
diptych,57351,0.771484375,0.6940817832946777,90
easy_control,57351,0.8115234375,0.4535590410232544,85
dsd_diffusion,57855,0.828125,0.8462810516357422,90
diptych,57855,0.78076171875,0.8286723494529724,85
easy_control,57855,0.85693359375,0.8927409052848816,85
dsd_diffusion,57958,0.78662109375,0.7128993272781372,90
diptych,57958,0.7421875,0.7661849856376648,85
easy_control,57958,0.8291015625,0.8409332036972046,85
dsd_diffusion,57981,0.763671875,0.5483210682868958,60
diptych,57981,0.69482421875,0.7051588892936707,85
easy_control,57981,0.84716796875,0.785396933555603,85
dsd_diffusion,58117,0.81005859375,0.7544273138046265,90
diptych,58117,0.8193359375,0.6409681439399719,90
easy_control,58117,0.87451171875,0.8781793713569641,90
dsd_diffusion,58405,0.77880859375,0.9052881002426147,90
diptych,58405,0.69140625,0.8842964172363281,85
easy_control,58405,0.85595703125,0.9108165502548218,85
dsd_diffusion,58642,0.8759765625,0.9329218864440918,90
diptych,58642,0.8603515625,0.9258826971054076,90
easy_control,58642,0.8935546875,0.8875221014022827,90
dsd_diffusion,58685,0.8359375,0.917840301990509,90
diptych,58685,0.8466796875,0.9110666513442992,90
easy_control,58685,0.7705078125,0.9034260511398317,85
dsd_diffusion,58962,0.875,0.7976367473602295,85
diptych,58962,0.7978515625,0.7775044441223145,85
easy_control,58962,0.8349609375,0.7821699976921082,90
dsd_diffusion,59047,0.85302734375,0.7504894137382507,85
diptych,59047,0.80078125,0.6829366087913513,90
easy_control,59047,0.876953125,0.8463687896728516,85
dsd_diffusion,62441,0.72998046875,0.6468356847763062,90
diptych,62441,0.7236328125,0.6358628869056702,85
easy_control,62441,0.80712890625,0.5798400640487671,90
dsd_diffusion,63265,0.83056640625,0.92930805683136,90
diptych,63265,0.736328125,0.8697233200073242,90
easy_control,63265,0.80908203125,0.9413082599639891,90
dsd_diffusion,63955,0.85205078125,0.83350670337677,90
diptych,63955,0.86474609375,0.897577166557312,90
easy_control,63955,0.88525390625,0.8955823183059692,90
dsd_diffusion,64419,0.8203125,0.729808509349823,85
diptych,64419,0.86083984375,0.8181582689285278,85
easy_control,64419,0.86669921875,0.8476443290710449,85
dsd_diffusion,64947,0.87646484375,0.931568205356598,85
diptych,64947,0.890625,0.9453343749046326,85
easy_control,64947,0.85888671875,0.8858680725097656,85
dsd_diffusion,65110,0.9091796875,0.8564637303352356,85
diptych,65110,0.916015625,0.8837127685546875,85
easy_control,65110,0.9169921875,0.8455274105072021,85
dsd_diffusion,65209,0.79833984375,0.8918231725692749,85
diptych,65209,0.748046875,0.8050422072410583,85
easy_control,65209,0.8330078125,0.8567646145820618,90
dsd_diffusion,65641,0.826171875,0.7537767887115479,85
diptych,65641,0.7978515625,0.7091648578643799,90
easy_control,65641,0.83935546875,0.7339456081390381,85
dsd_diffusion,6623,0.82275390625,0.5462573766708374,85
diptych,6623,0.83447265625,0.4464587569236755,85
easy_control,6623,0.83740234375,0.5173540115356445,90
dsd_diffusion,66689,0.8037109375,0.532278299331665,90
diptych,66689,0.830078125,0.6877070665359497,90
easy_control,66689,0.80615234375,0.3637434244155884,90
dsd_diffusion,68459,0.8095703125,0.6633180379867554,75
diptych,68459,0.7548828125,0.5575514435768127,90
easy_control,68459,0.83935546875,0.7854748964309692,90
dsd_diffusion,68636,0.79443359375,0.9046967029571532,90
diptych,68636,0.84423828125,0.9092385172843932,90
easy_control,68636,0.85400390625,0.911405384540558,90
dsd_diffusion,7072,0.7216796875,0.8415635824203491,90
diptych,7072,0.5830078125,0.5635963678359985,85
easy_control,7072,0.7783203125,0.8707653284072876,95
dsd_diffusion,8239,0.8564453125,0.7201399207115173,90
diptych,8239,0.841796875,0.4914209246635437,90
easy_control,8239,0.84033203125,0.8749794960021973,90
dsd_diffusion,83916,0.86474609375,0.8227725028991699,85
diptych,83916,0.8662109375,0.8603108525276184,90
easy_control,83916,0.87548828125,0.8516638278961182,90
dsd_diffusion,85194,0.85986328125,0.6822137236595154,85
diptych,85194,0.896484375,0.8935466408729553,90
easy_control,85194,0.912109375,0.8880845308303833,90
dsd_diffusion,8563,0.81201171875,0.5551639795303345,90
diptych,8563,0.68310546875,0.3571743369102478,85
easy_control,8563,0.734375,0.4926671385765075,75
dsd_diffusion,85911,0.822265625,0.6209038496017456,50
diptych,85911,0.87744140625,0.8217498064041138,50
easy_control,85911,0.81884765625,0.7137550115585327,50
dsd_diffusion,85926,0.8701171875,0.8575937747955322,85
diptych,85926,0.7998046875,0.7193100452423096,85
easy_control,85926,0.79833984375,0.7603173851966858,85
dsd_diffusion,86174,0.84033203125,0.8900840282440186,90
diptych,86174,0.8427734375,0.9309369325637816,75
easy_control,86174,0.88525390625,0.7620558738708496,90
dsd_diffusion,86193,0.8291015625,0.7764893174171448,85
diptych,86193,0.8427734375,0.6870493292808533,85
easy_control,86193,0.85107421875,0.7776613235473633,90
dsd_diffusion,9128,0.7392578125,0.7339504957199097,85
diptych,9128,0.6865234375,0.6852989196777344,90
easy_control,9128,0.67041015625,0.709784746170044,85
dsd_diffusion,9377,0.8818359375,0.760655403137207,85
diptych,9377,0.83837890625,0.7456845641136169,90
easy_control,9377,0.8017578125,0.6888296604156494,90
dsd_diffusion,93930,0.8837890625,0.8275356292724609,85
diptych,93930,0.77392578125,0.7002862095832825,85
easy_control,93930,0.873046875,0.8238433599472046,90
dsd_diffusion,94445,0.68310546875,0.8064146041870117,75
diptych,94445,0.744140625,0.8369737267494202,85
easy_control,94445,0.724609375,0.824762225151062,85
dsd_diffusion,94840,0.6953125,0.73610520362854,90
diptych,94840,0.64404296875,0.6828503012657166,75
easy_control,94840,0.74462890625,0.6510127782821655,75
dsd_diffusion,95017,0.78271484375,0.8431951403617859,75
diptych,95017,0.8623046875,0.8442883491516113,85
easy_control,95017,0.8173828125,0.8637194633483887,85
dsd_diffusion,95878,0.83056640625,0.9110872745513916,90
diptych,95878,0.85009765625,0.9237486720085144,90
easy_control,95878,0.8369140625,0.9161926507949828,90
dsd_diffusion,95929,0.74853515625,0.682642936706543,90
diptych,95929,0.78125,0.6554781198501587,60
easy_control,95929,0.80810546875,0.7180336713790894,90
dsd_diffusion,96807,0.88134765625,0.831056535243988,85
diptych,96807,0.880859375,0.9238643646240234,90
easy_control,96807,0.8720703125,0.8754144906997681,85
dsd_diffusion,96919,0.76123046875,0.8292251825332642,90
diptych,96919,0.74951171875,0.8412066698074341,90
easy_control,96919,0.77587890625,0.7959016561508179,85
dsd_diffusion,97172,0.89794921875,0.9032811522483826,90
diptych,97172,0.8427734375,0.859931468963623,85
easy_control,97172,0.890625,0.8966898918151855,90
dsd_diffusion,97265,0.8662109375,0.8730229735374451,85
diptych,97265,0.7890625,0.7699463367462158,85
easy_control,97265,0.8408203125,0.8747187852859497,90
dsd_diffusion,97384,0.78759765625,0.873207688331604,90
diptych,97384,0.75732421875,0.9314612746238708,90
easy_control,97384,0.82861328125,0.8986619710922241,90
dsd_diffusion,97393,0.82763671875,0.9185553193092346,85
diptych,97393,0.78466796875,0.8999185562133789,85
easy_control,97393,0.84375,0.8941036462783813,85
dsd_diffusion,97949,0.73046875,0.902130126953125,85
diptych,97949,0.77587890625,0.8372403383255005,90
easy_control,97949,0.7138671875,0.8324949145317078,85
dsd_diffusion,98073,0.5732421875,0.2757112979888916,75
diptych,98073,0.72216796875,0.3480289280414581,85
easy_control,98073,0.58935546875,0.4566865861415863,85
dsd_diffusion,98515,0.8564453125,0.7233357429504395,90
diptych,98515,0.837890625,0.6557112336158752,90
easy_control,98515,0.736328125,0.4744011759757995,85
dsd_diffusion,98812,0.88818359375,0.7670762538909912,85
diptych,98812,0.89208984375,0.7453572154045105,90
easy_control,98812,0.86083984375,0.614942193031311,85
dsd_diffusion,98832,0.8037109375,0.8733137845993042,90
diptych,98832,0.78466796875,0.823100745677948,90
easy_control,98832,0.80078125,0.8161282539367676,90
dsd_diffusion,99524,0.8720703125,0.7804226279258728,85
diptych,99524,0.810546875,0.8177260160446167,85
easy_control,99524,0.7900390625,0.7656723260879517,85
dsd_diffusion,99755,0.8544921875,0.8853816986083984,90
diptych,99755,0.7314453125,0.702778160572052,85
easy_control,99755,0.80224609375,0.7718797922134399,90
