,weight
300,0.4587
301,0.3488
302,0.3387
303,2.1113
304,2.169
305,0.406
306,0.4013
307,0.4062
308,0.342
309,2.1499
310,1.5517
311,0.4577
312,0.5338
313,0.3696
314,0.5653
315,0.4104
316,0.4327
317,0.6728
318,0.5841
319,2.1034
320,2.1341
321,0.6695
322,0.8026
323,0.4184
324,0.4016
325,2.0765
326,0.7566
327,0.3859
328,0.7059
329,0.3807
330,0.4872
331,0.6614
332,0.4766
333,0.5114
334,2.073
335,0.657
336,0.406
337,0.4455
338,0.6926
339,0.7174
340,0.6009
341,0.5461
342,0.4096
343,0.3813
344,1.9299
345,0.8117
346,0.4266
347,0.6437
348,1.2882
349,0.4243
350,0.3392
351,1.7379
352,1.6958
353,0.7508
354,1.9903
355,1.6896
356,0.3817
357,0.4102
358,1.9732
359,0.7309
360,0.3683
361,0.3629
362,2.3456
363,0.3957
364,0.7766
365,0.9138
366,2.0685
367,0.8004
368,0.5789
369,1.8611
370,0.5574
371,0.3736
372,0.567
373,0.4969
374,0.5008
375,0.6369
376,2.1647
377,1.8966
378,2.1297
379,2.2551
380,0.3812
381,0.6494
382,2.1283
383,0.5552
384,0.7468
385,0.6495
386,0.7094
387,0.5917
388,0.3776
389,1.9497
390,0.4972
391,0.606
392,0.7006
393,0.7123
394,0.4529
395,0.6238
396,1.557
397,1.5438
398,0.4551
399,2.2787
400,0.6484
401,1.4558
402,0.4792
403,0.4235
404,1.9169
405,0.4031
406,1.8332
407,1.8629
408,1.9911
409,0.3789
410,0.4647
411,0.6648
412,0.4097
413,0.7891
414,0.4356
415,1.8438
416,0.4775
417,0.7026
418,1.3853
419,0.4192
420,1.4566
421,0.6981
422,1.7416
423,2.3612
424,0.6059
425,2.4091
426,1.5051
427,1.896
428,0.8667
429,0.4006
430,2.0911
431,1.926
432,1.8148
433,0.4239
434,0.4221
435,2.0724
436,0.4548
437,0.5524
438,0.7709
439,0.3752
440,0.4165
441,0.4378
442,1.8211
443,0.6519
444,2.1973
445,0.6551
446,2.1505
447,0.3824
448,0.616
449,1.8065
450,2.107
451,0.3942
452,0.814
453,2.0455
454,0.687
455,0.4347
456,1.7989
457,0.6843
458,0.3815
459,0.6162
460,1.5948
461,0.3877
462,0.7113
463,1.8216
464,1.8873
465,0.3538
466,0.6936
467,0.8257
468,1.9042
469,1.6717
470,1.8617
471,1.6247
472,0.4867
473,1.7595
474,0.8612
475,0.3613
476,2.2487
477,1.7991
478,0.6776
479,1.4007
480,1.3136
481,0.4153
482,0.5201
483,0.7428
484,0.4177
485,0.4654
486,2.0461
487,0.5304
488,0.6855
489,0.5446
490,0.506
491,2.1424
492,0.6297
493,0.386
494,0.6581
495,0.4152
496,0.6078
497,1.8432
498,0.4141
499,0.479
500,0.6281
501,0.4297
502,0.6678
503,1.5065
504,1.9814
505,0.3836
506,1.2949
507,0.3877
508,0.75
509,0.6109
510,1.9159
511,0.6298
512,2.3115
513,1.203
514,1.9407
515,1.6947
516,0.5072
517,0.3594
518,1.8323
519,0.692
520,1.23
521,0.4811
522,0.5927
523,1.3766
524,0.468
525,0.5487
526,0.4107
527,1.7671
528,0.4088
529,0.5508
530,0.7733
531,0.3763
532,0.3913
533,1.6456
534,1.8146
535,2.1102
536,0.4752
537,0.5595
538,2.0696
539,2.1164
540,2.0752
541,0.4394
542,0.7744
543,0.704
544,0.4061
545,0.7625
546,0.3899
547,0.4069
548,0.8574
549,0.5157
550,0.6085
551,0.3546
552,0.4385
553,0.4109
554,2.1357
555,1.9959
556,0.4909
557,0.8066
558,0.449
559,0.4152
560,0.4566
561,0.4782
562,1.9747
563,0.5848
564,0.5678
565,0.43
566,0.7059
567,0.4748
568,0.691
569,0.3831
570,0.6567
571,2.0756
572,1.9531
573,0.7521
574,0.8024
575,0.5543
576,0.8078
577,0.5443
578,0.5814
579,0.5609
580,0.635
581,1.8358
582,1.4475
583,2.1083
584,0.3894
585,0.442
586,1.9163
587,0.4963
588,0.7763
589,2.2169
590,0.4133
591,0.4274
592,0.377
593,2.1114
594,0.4471
595,1.15
596,0.6905
597,0.6309
598,0.4273
599,0.5134
600,1.805
601,2.1495
602,0.7025
603,0.5875
604,2.2936
605,0.8294
606,2.1013
607,1.9226
608,2.1545
609,1.7839
610,0.4209
611,0.4208
612,0.5271
613,0.4316
614,0.43
615,1.8676
616,1.7208
617,0.3714
618,0.3758
619,0.4574
620,0.602
621,0.825
622,0.7464
623,0.5182
624,1.6043
625,0.5158
626,1.8218
627,0.7268
628,0.5263
629,0.6891
630,1.8468
631,0.3805
632,0.5515
633,1.9729
634,1.7934
635,0.7736
636,1.5183
637,0.428
638,0.5963
639,1.5803
640,0.4992
641,0.6511
642,2.3077
643,0.5147
644,1.858
645,0.5868
646,0.7436
647,0.5137
648,1.3851
649,1.5026
650,0.7371
651,2.1105
652,0.542
653,2.0732
654,1.2366
655,1.8869
656,0.357
657,0.3846
658,0.7649
659,0.4023
660,0.6008
661,0.5106
662,0.7098
663,0.6353
664,0.5845
665,0.5809
666,0.4359
667,1.8176
668,0.7066
669,2.1527
670,1.5078
671,0.5506
672,0.3712
673,0.4002
674,0.4706
675,0.794
676,2.1172
677,0.7165
678,0.4722
679,0.3887
680,2.3582
681,0.6485
682,0.4011
683,0.8007
684,0.4382
685,0.6908
686,0.5261
687,0.3764
688,0.5835
689,1.7031
690,0.4226
691,0.5461
692,0.5864
693,1.9784
694,2.1053
695,0.388
696,0.6417
697,0.6744
698,2.4375
699,0.6312
700,1.8581
701,0.3778
702,0.4563
703,0.7187
704,1.5173
705,0.401
706,1.9577
707,0.6683
708,0.445
709,1.7565
710,1.6559
711,0.6241
712,0.4538
713,0.3514
714,0.6354
715,0.4218
716,0.4906
717,0.4548
718,0.659
719,0.4249
720,0.3913
721,2.0287
722,0.603
723,0.6493
724,1.1872
725,2.1221
726,2.0096
727,2.1171
728,0.7136
729,2.2308
730,0.5887
731,1.8566
732,0.3641
733,0.4047
734,0.6588
735,1.4387
736,0.3868
737,1.8544
738,0.6249
739,0.5564
740,0.4783
741,1.6859
742,0.4842
743,0.5842
744,2.0772
745,0.672
746,0.5864
747,1.7728
748,0.3502
749,1.5445
750,2.2604
751,0.8373
752,0.4125
753,1.68
754,0.5699
755,0.5523
756,0.4501
757,0.4273
758,1.9335
759,2.3071
760,1.652
761,0.6018
762,0.7906
763,0.4071
764,0.5517
765,0.6572
766,0.5038
767,1.9291
768,0.3816
769,0.4768
770,0.4001
771,0.7235
772,0.3905
773,0.3713
774,0.709
775,1.9986
776,0.6954
777,0.518
778,0.4424
779,0.4725
780,0.5631
781,0.4699
782,1.9329
783,2.0274
784,0.6568
785,2.2349
786,0.3635
787,0.3902
788,0.6167
789,1.4818
790,2.0818
791,0.5811
792,0.4125
793,2.1722
794,0.8139
795,1.9723
796,0.4153
797,0.4449
798,1.5393
799,0.5982
800,0.5788
801,0.4157
802,0.389
803,0.7383
804,0.5078
805,1.9606
806,0.4701
807,0.6373
808,0.6715
809,0.4734
810,2.1244
811,0.4642
812,2.383
813,1.9374
814,0.3552
815,0.3663
816,1.6881
817,0.3962
818,0.4974
819,0.4203
820,1.4954
821,0.6249
822,1.7355
823,0.4676
824,1.9691
825,0.7542
826,1.4684
827,2.1528
828,1.7559
829,0.7152
830,0.3505
831,0.6553
832,0.6638
833,0.4356
834,1.5145
835,1.916
836,0.4143
837,0.4006
838,0.7625
839,0.3295
840,2.3707
841,2.1102
842,0.5517
843,0.3694
844,0.4349
845,0.4239
846,0.5513
847,0.3973
848,0.4674
849,0.3667
850,1.4463
851,0.4264
852,0.4307
853,2.2088
854,0.6873
855,2.1409
856,1.9125
857,0.499
858,0.7293
859,1.4974
860,0.8256
861,0.3746
862,2.136
863,2.1295
864,0.4205
865,2.1745
866,0.7266
867,2.254
868,0.4783
869,0.8977
870,0.8393
871,0.4641
872,0.7435
873,1.9274
874,2.1425
875,0.3629
876,2.3711
877,1.9499
878,0.4999
879,0.6551
880,2.0029
881,2.2652
882,0.3813
883,0.5731
884,1.9018
885,2.2637
886,0.6502
887,0.8462
888,0.7976
889,0.4638
890,0.793
891,0.6958
892,0.3942
893,2.2039
894,0.5063
895,2.062
896,0.4282
897,0.7126
898,0.4397
899,0.3921
900,0.6552
901,0.5111
902,0.4756
903,0.4438
904,0.6327
905,1.1492
906,0.4215
907,0.3412
908,0.4476
909,0.567
910,1.3544
911,2.3499
912,0.4512
913,2.1783
914,0.3308
915,1.6786
916,0.4535
917,0.4975
918,2.0055
919,0.5201
920,2.2681
921,0.4207
922,2.046
923,0.6044
924,0.406
925,0.4371
926,0.6747
927,0.6634
928,1.4817
929,0.4224
930,1.6297
931,1.264
932,0.4253
933,1.6619
934,0.4949
935,0.4336
936,0.4892
937,0.6137
938,0.4628
939,0.6504
940,0.7012
941,0.383
942,2.0016
943,0.721
944,1.9441
945,1.4829
946,1.6946
947,1.5271
948,0.5413
949,0.4129
950,0.3971
951,0.3671
952,2.3788
953,0.7567
954,1.9058
955,0.3825
956,0.5965
957,0.401
958,2.0092
959,0.3643
960,0.3567
961,0.825
962,2.09
963,1.0902
964,0.7157
965,0.4003
966,0.5974
967,2.0144
968,1.5127
969,0.4212
970,0.5058
971,0.3915
972,0.7033
973,1.0967
974,2.1434
975,0.7312
976,0.4713
977,1.6535
978,0.4019
979,0.4065
980,1.9497
981,0.5095
982,2.0892
983,1.6581
984,0.6342
985,0.4016
986,0.3807
987,0.5799
988,2.0445
989,0.4416
990,2.1668
991,0.6508
992,0.4028
993,0.663
994,0.3724
995,0.4718
996,2.1424
997,0.7339
998,1.5367
999,0.6129
1000,1.9683
1001,1.6517
1002,2.088
1003,0.7419
1004,1.8665
1005,0.6037
1006,0.5249
1007,0.4907
1008,1.8757
1009,0.3786
1010,0.668
1011,1.9288
1012,0.3506
1013,2.3048
1014,0.5303
1015,0.4785
1016,0.4433
1017,0.4141
1018,0.503
1019,0.5116
1020,0.4297
1021,0.6174
1022,0.3883
1023,0.4291
1024,0.7395
1025,0.7626
1026,0.4214
1027,2.0457
1028,2.2587
1029,0.3992
1030,0.8278
1031,0.3738
1032,0.6693
1033,1.2956
1034,2.2688
1035,0.6742
1036,2.1617
1037,0.4739
1038,1.3906
1039,0.4658
1040,0.5983
1041,2.0246
1042,2.0742
1043,2.1115
1044,0.4541
1045,0.6482
1046,1.9842
1047,0.4448
1048,0.4114
1049,0.5278
1050,0.3676
1051,0.652
1052,0.379
1053,0.8186
1054,2.1993
1055,2.0949
1056,0.6537
1057,1.7853
1058,2.0024
1059,2.1057
1060,0.3377
1061,0.4016
1062,2.1625
1063,0.398
1064,2.3539
1065,0.6566
1066,0.3767
1067,0.3976
1068,0.3746
1069,2.1713
1070,1.8975
1071,0.5134
1072,0.5301
1073,1.4243
1074,0.6713
1075,2.321
1076,0.6412
1077,2.2852
1078,0.3615
1079,0.5433
1080,0.608
1081,0.6119
1082,0.558
1083,0.4488
1084,0.6462
1085,1.975
1086,2.0463
1087,0.4988
1088,0.5379
1089,0.4894
1090,1.7402
1091,2.1661
1092,1.8424
1093,0.6113
1094,1.9432
1095,2.2864
1096,2.1343
1097,0.3836
1098,2.0669
1099,0.4474
1100,0.4319
1101,0.4361
1102,0.3827
1103,0.7321
1104,1.5302
1105,1.9529
1106,0.7114
1107,0.3663
1108,0.6319
1109,1.9396
1110,0.4466
1111,2.0332
1112,0.5139
1113,0.8266
1114,0.376
1115,0.3644
1116,0.4205
1117,1.6372
1118,0.4072
1119,0.4113
1120,1.8441
1121,0.5449
1122,0.7955
1123,0.7954
1124,0.4354
1125,1.4221
1126,0.3637
1127,2.3998
1128,2.2292
1129,0.3949
1130,0.4502
1131,0.6365
1132,1.6393
1133,0.7274
1134,2.3273
1135,1.0121
1136,2.0314
1137,0.7304
1138,0.7605
1139,2.0054
1140,1.9758
1141,2.0671
1142,0.8431
1143,0.3646
1144,0.4378
1145,0.3868
1146,0.4449
1147,0.4629
1148,2.3929
1149,0.4429
1150,0.3547
1151,0.8234
1152,0.4868
1153,2.088
1154,2.0405
1155,0.5662
1156,0.6007
1157,2.2065
1158,0.3637
1159,0.4243
1160,0.4155
1161,0.43
1162,1.3625
1163,0.796
1164,0.3395
1165,2.0223
1166,0.6934
1167,0.648
1168,1.6887
1169,0.6234
1170,0.5789
1171,2.0121
1172,0.801
1173,2.0905
1174,0.6778
1175,0.4687
1176,0.3613
1177,0.6846
1178,0.6066
1179,0.7148
1180,1.7702
1181,0.765
1182,0.3721
1183,0.607
1184,2.1709
1185,2.0648
1186,0.3767
1187,1.4176
1188,0.7849
1189,0.5067
1190,2.3839
1191,0.3983
1192,0.4807
1193,0.4365
1194,2.0855
1195,0.7372
1196,0.3972
1197,1.7197
1198,0.681
1199,0.4043
1200,1.1808
1201,1.459
1202,2.1243
1203,0.68
1204,0.4226
1205,0.4858
1206,0.7903
1207,0.4573
1208,0.4399
1209,2.0716
1210,1.239
1211,0.5328
1212,1.2253
1213,1.3395
1214,2.2835
1215,0.8255
1216,2.016
1217,1.8011
1218,1.7326
1219,1.9791
1220,1.7212
1221,1.6326
1222,0.6873
1223,0.4579
1224,0.3541
1225,0.4309
1226,0.55
1227,0.3919
1228,1.4502
1229,0.6723
1230,2.107
1231,1.9347
1232,0.6042
1233,1.0555
1234,0.4968
1235,0.5552
1236,1.8732
1237,0.7075
1238,2.1974
1239,0.3988
1240,0.5429
1241,1.6758
1242,0.4066
1243,0.365
1244,1.5524
1245,0.7114
1246,0.4317
1247,1.8835
1248,1.8255
1249,0.6284
1250,0.6969
1251,1.1378
1252,0.4327
1253,0.652
1254,0.5346
1255,2.0363
1256,1.7835
1257,0.51
1258,0.5927
1259,1.9441
1260,0.3878
1261,0.7756
1262,0.4128
1263,1.8628
1264,0.7553
1265,0.5075
1266,2.1605
1267,0.6821
1268,2.1785
1269,2.2155
1270,0.5439
1271,2.4122
1272,2.2758
1273,0.8423
1274,1.5183
1275,0.4008
1276,0.4298
1277,0.6382
1278,0.7319
1279,1.6832
1280,0.7158
1281,0.3761
1282,0.5496
1283,0.6229
1284,0.5956
1285,0.5892
1286,0.4513
1287,1.5152
1288,1.303
1289,1.0713
1290,0.6943
1291,0.3992
1292,0.4171
1293,0.4548
1294,0.4532
1295,0.7714
1296,0.515
1297,0.7176
1298,0.6002
1299,2.227
1300,0.6151
1301,0.4203
1302,0.4127
1303,0.6635
1304,0.4296
1305,1.5235
1306,0.4235
1307,1.7454
1308,0.6154
1309,0.6268
1310,0.4278
1311,1.8855
1312,0.5981
1313,0.44
1314,0.6136
1315,0.6891
1316,0.7808
1317,0.4306
1318,0.6706
1319,1.3134
1320,2.3652
1321,0.7572
1322,0.7147
1323,0.4193
1324,0.7048
1325,0.5481
1326,0.4001
1327,0.4371
1328,0.6046
1329,1.4056
1330,1.9899
1331,0.6378
1332,1.4866
1333,0.6273
1334,0.484
1335,1.8417
1336,1.365
1337,0.4339
1338,0.6929
1339,1.5693
1340,0.3508
1341,0.8387
1342,0.6264
1343,0.4285
1344,1.8835
1345,2.1908
1346,0.7381
1347,0.4128
1348,0.3847
1349,0.6008
1350,0.7652
1351,0.4967
1352,0.6195
1353,0.7138
1354,2.026
1355,0.5
1356,1.4579
1357,0.6796
1358,0.715
1359,0.4178
1360,0.5017
1361,0.5339
1362,1.9467
1363,1.9515
1364,0.373
1365,0.4303
1366,0.6847
1367,1.3381
1368,0.6292
1369,0.4773
1370,1.6874
1371,0.5275
1372,1.6174
1373,1.8727
1374,0.4232
1375,0.3838
1376,0.6559
1377,0.4993
1378,0.3538
1379,2.1243
1380,2.2208
1381,2.2232
1382,0.4396
1383,2.0378
1384,2.1328
1385,0.3775
1386,2.1819
1387,0.5058
1388,1.3038
1389,0.6916
1390,1.9208
1391,0.5795
1392,0.4261
1393,2.1243
1394,2.147
1395,1.6893
1396,1.8942
1397,1.0446
1398,0.7691
1399,0.6684
1400,0.5243
1401,0.4735
1402,1.3606
1403,2.1809
1404,0.4643
1405,0.4716
1406,0.3971
1407,0.3968
1408,1.7779
1409,0.5244
1410,0.6686
1411,2.1088
1412,1.0093
1413,0.3763
1414,1.8916
1415,0.557
1416,0.402
1417,2.2273
1418,1.8498
1419,0.7729
1420,0.412
1421,0.4619
1422,2.1367
1423,0.6147
1424,2.3908
1425,0.3881
1426,2.0543
1427,0.4468
1428,0.3534
1429,2.0127
1430,1.2935
1431,0.8442
1432,0.6507
1433,0.5057
1434,0.3789
1435,0.5065
1436,1.8707
1437,0.3966
1438,0.6008
1439,0.5512
1440,1.8165
1441,0.5002
1442,0.4317
1443,0.4096
1444,0.6234
1445,0.4171
1446,0.4604
1447,1.3431
1448,0.6402
1449,0.6714
1450,0.4854
1451,2.1649
1452,2.1246
1453,0.3764
1454,0.4705
1455,2.2464
1456,0.6361
1457,0.4017
1458,0.4173
1459,0.3934
1460,0.4247
1461,0.5705
1462,2.0896
1463,0.7619
1464,0.4247
1465,0.4126
1466,2.2966
1467,0.6898
1468,0.4604
1469,0.4127
1470,1.785
1471,0.5579
1472,0.8811
1473,0.713
1474,1.7701
1475,0.3989
1476,0.8076
1477,0.5626
1478,0.5733
1479,2.4207
1480,0.5437
1481,1.3835
1482,0.4083
1483,0.505
1484,1.8301
1485,0.8433
1486,1.6507
1487,0.4174
1488,1.9066
1489,0.4866
1490,1.4979
1491,1.869
1492,2.1655
1493,0.4399
1494,2.0413
1495,0.4298
1496,2.1413
1497,0.433
1498,2.3559
1499,0.4641
1500,0.5511
1501,1.0667
1502,0.4878
1503,2.1106
1504,0.3944
1505,0.6296
1506,1.5675
1507,1.9899
1508,0.5729
1509,0.7239
1510,0.5692
1511,1.6796
1512,0.6553
1513,0.4143
1514,0.6479
1515,0.4563
1516,2.2732
1517,0.4075
1518,0.3917
1519,0.3817
1520,2.0024
1521,0.4919
1522,2.1231
1523,0.7764
1524,0.3983
1525,0.8062
1526,2.2677
1527,0.3734
1528,0.6166
1529,2.3057
1530,0.4609
1531,2.1509
1532,0.4675
1533,0.3789
1534,0.806
1535,2.0331
1536,0.3501
1537,0.7329
1538,1.8723
1539,1.4531
1540,0.4241
1541,0.3838
1542,0.4542
1543,0.6953
1544,1.6194
1545,0.6431
1546,0.5196
1547,1.8741
1548,2.1517
1549,0.6426
1550,0.6846
1551,0.6635
1552,0.4331
1553,0.4566
1554,2.1143
1555,0.4614
1556,0.4272
1557,0.504
1558,0.406
1559,2.0015
1560,0.3811
1561,0.3734
1562,0.3812
1563,0.7495
1564,0.5878
1565,0.3757
1566,2.0702
1567,2.3333
1568,1.8529
1569,0.8396
1570,2.0017
1571,1.414
1572,1.919
1573,1.6902
1574,0.3963
1575,0.4019
1576,0.4086
1577,0.3511
1578,0.6832
1579,1.998
1580,2.2278
1581,0.7613
1582,1.3101
1583,0.6567
1584,2.0394
1585,0.607
1586,2.175
1587,0.4524
1588,1.625
1589,1.9787
1590,1.7324
1591,1.6638
1592,0.4304
1593,0.7836
1594,1.6021
1595,0.3327
1596,2.3162
1597,2.1198
1598,1.7272
1599,0.3623
1600,0.4396
1601,0.5036
1602,0.5699
1603,1.9011
1604,2.1444
1605,0.4036
1606,1.7959
1607,1.5
1608,1.9503
1609,0.7453
1610,0.6243
1611,0.5643
1612,1.9554
1613,0.5537
1614,0.7139
1615,2.1648
1616,1.963
1617,2.2676
1618,2.0607
1619,0.4649
1620,1.3552
1621,1.2727
1622,0.4523
1623,0.707
1624,2.1756
1625,0.5306
1626,1.9481
1627,1.8496
1628,0.3261
1629,0.4024
1630,2.1528
1631,0.4364
1632,0.6245
1633,0.5103
1634,0.4368
1635,0.5019
1636,2.1165
1637,2.0697
1638,0.7392
1639,1.9608
1640,0.6248
1641,0.8469
1642,0.7352
1643,1.7741
1644,0.3556
1645,0.515
1646,1.8314
1647,0.3883
1648,0.4317
1649,0.4976
1650,0.5313
1651,0.377
1652,0.4514
1653,0.6783
1654,0.6447
1655,0.4462
1656,0.4002
1657,0.4123
1658,1.7483
1659,0.3986
1660,1.5011
1661,0.9482
1662,2.2972
1663,1.9582
1664,0.6045
1665,0.6594
1666,0.4837
1667,1.9619
1668,0.3887
1669,0.4451
1670,0.762
1671,0.4343
1672,0.6252
1673,1.7743
1674,0.8208
1675,0.5638
1676,0.7284
1677,2.1714
1678,0.5757
1679,1.3038
1680,2.1969
1681,2.0658
1682,2.1068
1683,0.5699
1684,0.4221
1685,2.1318
1686,2.2926
1687,1.6275
1688,2.1372
1689,0.3539
1690,2.2998
1691,1.5096
1692,0.3793
1693,0.3715
1694,1.5196
1695,0.4418
1696,0.4508
1697,0.5244
1698,2.1555
1699,1.5286
1700,2.3045
1701,0.6478
1702,1.7093
1703,0.6698
1704,0.5822
1705,0.6558
1706,2.0226
1707,0.7251
1708,0.644
1709,0.375
1710,0.4646
1711,0.6947
1712,1.3957
1713,0.8083
1714,0.7573
1715,2.018
1716,2.3814
1717,0.6177
1718,0.3758
1719,0.6672
1720,0.4556
1721,0.378
1722,0.3638
1723,1.6007
1724,0.5139
1725,0.3608
1726,0.3994
1727,2.1657
1728,1.5591
1729,0.5824
1730,0.777
1731,0.3679
1732,1.647
1733,0.4112
1734,0.5212
1735,0.46
1736,0.602
1737,0.7125
1738,0.61
1739,0.585
1740,2.0626
1741,0.4168
1742,0.4755
1743,1.8037
1744,2.0425
1745,0.5678
1746,0.7267
1747,1.9793
1748,0.4269
1749,0.9048
1750,0.4911
1751,1.5971
1752,0.6201
1753,1.9144
1754,0.3505
1755,1.9499
1756,0.4446
1757,2.0276
1758,0.6805
1759,1.7871
1760,0.4569
1761,1.3696
1762,0.4868
1763,0.7964
1764,1.5412
1765,1.9766
1766,0.4897
1767,0.6977
1768,0.545
1769,0.8348
1770,2.1216
1771,2.2975
1772,0.5581
1773,1.6737
1774,0.7581
1775,0.43
1776,2.0274
1777,0.6143
1778,0.6059
1779,1.8243
1780,0.6644
1781,0.8525
1782,2.1209
1783,0.6972
1784,0.6455
1785,0.4133
1786,2.0346
1787,2.1407
1788,1.7254
1789,2.1169
1790,1.9667
1791,0.3682
1792,0.5609
1793,0.4084
1794,0.3917
1795,2.1818
1796,2.0957
1797,0.3677
1798,1.9416
1799,0.3405
1800,0.5427
1801,2.0758
1802,0.467
1803,1.5072
1804,0.4248
1805,0.3388
1806,2.0071
1807,0.4624
1808,0.4181
1809,1.3542
1810,1.8652
1811,1.9959
1812,1.6941
1813,2.0222
1814,0.4009
1815,0.4817
1816,1.3399
1817,2.0982
1818,2.2743
1819,0.6722
1820,0.7303
1821,0.6883
1822,0.4304
1823,0.5524
1824,0.4979
1825,0.7259
1826,0.7456
1827,2.1313
1828,0.4088
1829,0.3975
1830,0.6934
1831,2.0187
1832,0.8357
1833,1.3416
1834,1.8648
1835,1.7426
1836,0.6608
1837,0.4526
1838,0.6008
1839,2.084
1840,0.6136
1841,0.6791
1842,0.42
1843,0.6454
1844,0.4029
1845,0.4716
1846,2.1754
1847,1.6988
1848,2.1399
1849,0.6436
1850,1.2782
1851,1.4574
1852,0.7744
1853,0.7673
1854,1.4186
1855,0.3712
1856,0.8089
1857,0.4993
1858,2.0877
1859,0.3705
1860,0.5774
1861,0.3464
1862,0.4977
1863,0.6128
1864,0.5689
1865,0.4282
1866,0.4049
1867,1.5799
1868,0.7035
1869,1.9925
1870,1.3475
1871,0.4698
1872,0.3544
1873,0.3687
1874,2.095
1875,0.7848
1876,0.6574
1877,0.4789
1878,0.3835
1879,2.3624
1880,0.4679
1881,1.4006
1882,1.8213
1883,2.2681
1884,0.4751
1885,1.4532
1886,0.4712
1887,0.7103
1888,0.6318
1889,2.0678
1890,0.3348
1891,2.2172
1892,0.4186
1893,0.4907
1894,0.5327
