V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'B')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('B', 's')]; S_plus:('P', 'A', 'Q', 'D'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('B', 's')]; S_plus:('P', 'A', 'Q', 'D'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'R'), ('B', 's')]; S_plus:('r', 'A', 'R'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'R'), ('B', 's')]; S_plus:('r', 'A', 'R'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('B', 's')]; S_plus:('P', 'A', 'D', 'R'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('B', 's')]; S_plus:('P', 'A', 'D', 'R'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('B', 's')]; S_plus:('R', 'D', 'A', 'Q'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('B', 's')]; S_plus:('R', 'D', 'A', 'Q'); T_star:[('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'B'), ('A', 'X')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'B'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'D'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'X'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'B'), ('A', 'X')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'B'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'D'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'X'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'B'), ('A', 'X')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'B'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'D'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'X'), ('B', 'D')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('A', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'X'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'X'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'X'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('A', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'X'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'X'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'X'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('A', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'X'), ('D', 'B')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'X'), ('D', 'X')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('D', 'Y')]
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'X'), ('D', 'Y')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('B', 'D')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('D', 'A')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'D'), ('D', 'A')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('D', 'X')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'D'), ('D', 'X')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('D', 'Y')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'D'), ('D', 'Y')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('B', 'D')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('D', 'A')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'D'), ('D', 'A')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('D', 'X')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'D'), ('D', 'X')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'A'), ('D', 'Y')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A', 'R'); T_star:[('B', 'D'), ('D', 'Y')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('B', 'D')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('D', 'A')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'D'), ('D', 'A')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('D', 'X')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'D'), ('D', 'X')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'A'), ('D', 'Y')]
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D'), ('B', 's')]; S_plus:('R', 'Q', 'A'); T_star:[('B', 'D'), ('D', 'Y')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'D'), ('A', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'X'), ('B', 'D')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'D'), ('A', 'X'), ('B', 'D')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'D'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('A', 'X'), ('D', 'X')]
V_star:['A', 'B', 'D']; S_minus:[('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D'), ('B', 's')]; S_plus:(); T_star:[('A', 'B'), ('B', 'D'), ('D', 'X')]
