Name,Address,gmap_id,description,Latitude,Longitude,category,Aggregate Rating,num_of_reviews,price,hours,MISC,City,state,Cuisines,Average Cost
Bali Hai Restaurant,"Bali Hai Restaurant, 2230 Shelter Island Dr, San Diego, CA 92106",0x80deab757e3e12b9:0x63b363725d27576c,"Sprawling Polynesian eatery known for its mai tai cocktails, seafood dishes & enchanting bay views.",32.7194332,-117.220418,['Polynesian restaurant'],4.5,1951,$$$,"[['Friday', '11:30AM–3PM'], ['Saturday', '11:30AM–2PM'], ['Sunday', '10AM–2PM'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM'], ['Thursday', '11:30AM–3PM']]","{'Service options': ['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great cocktails', 'Great dessert', 'LGBTQ friendly'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible elevator', 'Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Happy hour drinks', 'Happy hour food', 'Hard liquor', 'Healthy options', ""Kids' menu"", 'Late-night food', 'Small plates', 'Wine'], 'Dining options': ['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Bar onsite', 'High chairs', 'Restroom'], 'Atmosphere': ['Casual', 'Cozy', 'Historic', 'Romantic', 'Upscale'], 'Crowd': ['Family-friendly', 'Groups', 'Tourists'], 'Planning': ['Lunch reservations recommended', 'Dinner reservations recommended', 'Accepts reservations']}",San Diego,California,Seafood & Organic Cuisine,10
Tasty Chinese Restaurant,"Tasty Chinese Restaurant, 213 S Highland Ave, Pittsburgh, PA 15206",0x8834f2735695ad87:0x1d70908ef2826757,Basic option offering a variety of familiar Chinese fare.,40.458491,-79.924781,"['Chinese restaurant', 'Asian restaurant']",3.7,46,,"[['Sunday', '11:30AM–9:30PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–9:30PM'], ['Saturday', '11:30AM–9:30PM']]","{'Service options': ['Takeout', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Vegetarian options'], 'Amenities': ['Good for kids'], 'Payments': ['Debit cards']}",Pittsburgh,Pennsylvania,African & Middle Eastern Cuisine,15
Jubba Somali Restaurant,"Jubba Somali Restaurant, 5330 Terner Way, San Jose, CA 95136",0x808e33d3eb5150ff:0x5774614b48934b2,Family-owned Somalian eatery known for their goat platters & samosas in a nondescript storefront.,37.2573744,-121.8606689,['East African restaurant'],4.7,823,$,"[['Saturday', '4–9PM'], ['Sunday', '4–9PM'], ['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', 'Closed'], ['Thursday', '4–9PM'], ['Friday', '4–9PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Highlights': ['Great tea selection'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Halal food', 'Healthy options', 'Quick bite', 'Vegetarian options'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Groups', 'Tourists'], 'Payments': ['NFC mobile payments']}",San Jose,California,African & Middle Eastern Cuisine,38
China One Restaurant,"China One Restaurant, 1140 E Clark Ave STE 170, Santa Maria, CA 93455",0x80ec13971aced2e5:0xce36254cbacbf68d,,34.8642482,-120.4162764,['Chinese restaurant'],4.0,87,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM']]","{'Service options': ['Delivery', 'Takeout'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Offerings': ['Comfort food', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual'], 'Crowd': ['Groups']}",Santa Maria,California,Chinese Cuisine,35
Rail Stop Restaurant & Bar,"Rail Stop Restaurant & Bar, 96 Guest St, Boston, MA 02135",0x89e379cd67d3f96b:0xe133bc145ac1b5a,Buzzy train-themed spot serving modern New England cuisine & cool cocktails amid vintage decor.,42.3570636,-71.1434809,"['New England restaurant', 'Bar', 'Restaurant']",4.4,366,$$$,"[['Sunday', '11:30AM–9PM'], ['Monday', '11:30AM–9PM'], ['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM']]","{'Service options': ['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required'], 'Highlights': ['Great dessert'], 'Popular for': ['Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Cocktails', 'Coffee', 'Comfort food', 'Late-night food'], 'Dining options': ['Lunch', 'Dinner', 'Dessert'], 'Amenities': ['High chairs', 'Restroom', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cozy', 'Romantic', 'Upscale'], 'Crowd': ['Groups'], 'Planning': ['Accepts reservations']}",Boston,Massachusetts,European Cuisine,41
Pesto's Italian Restaurant & Catering,"Pesto's Italian Restaurant & Catering, 3123 Calumet Ave, Valparaiso, IN 46383",0x881199ecfc834c93:0x2484ff82b94068e9,"Family-run eatery serving pasta, pizza, entrees & a seasonal menu plus a twice-weekly buffet.",41.4964356,-87.0448796,['Italian restaurant'],4.5,1138,$$,"[['Thursday', '11AM–8PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8:30PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Highlights': ['Great coffee', 'Great dessert'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"", 'Small plates', 'Vegetarian options'], 'Dining options': ['Catering', 'Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy', 'Romantic', 'Upscale'], 'Crowd': ['Groups', 'Tourists'], 'Planning': ['Dinner reservations recommended', 'Accepts reservations']}",Valparaiso,Indiana,European Cuisine,43
Naupaka Terrace Restaurant,"Naupaka Terrace Restaurant, 4331 Kauai Beach Dr, Lihue, HI 96766",0x7c071e33788a0591:0xe571e6a84f55293c,"Kauai Beach Resort eatery offering Hawaiian dishes for breakfast, lunch & dinner, plus water views.",22.0098526,-159.33829029999998,['Seafood restaurant'],4.0,176,$$,"[['Sunday', '6:30–10:30AM'], ['Monday', '6:30–10:30AM'], ['Tuesday', '6:30–10:30AM'], ['Wednesday', '6:30–10:30AM'], ['Thursday', '6:30–10:30AM'], ['Friday', '6:30–10:30AM'], ['Saturday', '6:30–10:30AM']]","{'Service options': ['Outdoor seating', 'Takeout', 'Dine-in'], 'Highlights': ['Great coffee', 'Great dessert', 'Live music'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu""], 'Dining options': ['Dessert'], 'Amenities': ['Bar onsite', 'Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy', 'Romantic', 'Upscale'], 'Crowd': ['Groups', 'Tourists'], 'Planning': ['Dinner reservations recommended', 'Accepts reservations']}",Lihue,Hawaii,Seafood & Organic Cuisine,44
Ann Sather Restaurant & Catering,"Ann Sather Restaurant & Catering, 3415 N Broadway, Chicago, IL 60657",0x880fd3a4eba6e88b:0xb4f046ad6be5dbb,"Casual, colorful BYOB mainstay for hearty Swedish-American meals & housemade cinnamon buns.",41.9438181,-87.6448901,['Restaurant'],4.5,468,$,"[['Tuesday', '7AM–3PM'], ['Wednesday', '7AM–3PM'], ['Thursday', '7AM–3PM'], ['Friday', '7AM–3PM'], ['Saturday', '7AM–3PM'], ['Sunday', '7AM–3PM'], ['Monday', '7AM–3PM']]","{'Service options': ['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Highlights': ['Great coffee'], 'Popular for': ['Breakfast', 'Lunch', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible seating'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"", 'Quick bite', 'Vegetarian options'], 'Dining options': ['Breakfast', 'Lunch', 'Dessert', 'Seating'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Family-friendly', 'Groups', 'Tourists'], 'Planning': ['Transgender safespace', 'LGBTQ friendly'], 'Payments': ['Credit cards']}",Chicago,Illinois,American Cuisine,48
Five Brothers Restaurant,"Five Brothers Restaurant, 6218 W Third St, Dayton, OH 45417",0x88407dc3a0dec0cd:0x62f18105f38dec65,,39.7461443,-84.2949,['Restaurant'],4.4,18,,"[['Thursday', '7AM–10PM'], ['Friday', '7AM–12AM'], ['Saturday', '7AM–12AM'], ['Sunday', '10AM–9PM'], ['Monday', '7AM–10PM'], ['Tuesday', '7AM–10PM'], ['Wednesday', '7AM–10PM']]","{'Service options': ['Delivery', 'Dine-in'], 'Amenities': ['Good for kids']}",Dayton,Ohio,American Cuisine,36
Changsam Restaurant,"Changsam Restaurant, 5008 Germantown Ave, Philadelphia, PA 19144",0x89c6b825646edf49:0xa3c1adb8639bed5,,40.0293153,-75.164222,['Chinese restaurant'],4.0,26,,"[['Sunday', '3PM–1AM'], ['Monday', '3PM–1AM'], ['Tuesday', '3PM–1AM'], ['Wednesday', '3PM–1AM'], ['Thursday', '3PM–1AM'], ['Friday', '3PM–1AM'], ['Saturday', '3PM–1AM']]","{'Service options': ['Takeout', 'Dine-in'], 'Popular for': ['Lunch', 'Dinner'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Quick bite'], 'Atmosphere': ['Casual'], 'Payments': ['Cash-only']}",Philadelphia,Pennsylvania,Chinese Cuisine,49
Rincon Catracho Restaurant,"Rincon Catracho Restaurant, 1456 Wells Station Rd #3664, Memphis, TN 38108",0x887f835914fe1e21:0xa1222d718d5b5f6c,,35.1714088,-89.9166872,['Honduran restaurant'],4.1,18,,,"{'Service options': ['Takeout', 'Delivery'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Offerings': ['Comfort food', 'Quick bite', 'Small plates'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups']}",Memphis,Tennessee,Latin American Cuisine,37
Bluebird Restaurant,"Bluebird Restaurant, 4629 Montgomery Rd, Cincinnati, OH 45212",0x8841b293b075d94f:0x68c3c5ba97afbddf,Veteran eatery serving American comfort classics for breakfast & lunch in modest surroundings.,39.1611802,-84.45627669999999,"['American restaurant', 'Restaurant']",4.0,358,$,"[['Thursday', '7AM–3PM'], ['Friday', '7AM–3PM'], ['Saturday', '7AM–3PM'], ['Sunday', '7AM–3PM'], ['Monday', '7AM–3PM'], ['Tuesday', '7AM–3PM'], ['Wednesday', '7AM–3PM']]","{'Service options': ['Takeout'], 'Amenities': ['Good for kids']}",Cincinnati,Ohio,American Cuisine,23
Luna Cafe Restaurant,"Luna Cafe Restaurant, 63 E Harrison St, Chicago, IL 60605",0x880e2c9893ba4369:0xcc95665792f0bdc3,,41.8742941,-87.6252265,['Breakfast restaurant'],3.9,234,$,"[['Tuesday', '6AM–3PM'], ['Wednesday', '6AM–3PM'], ['Thursday', '6AM–3PM'], ['Friday', '6AM–3PM'], ['Saturday', '7AM–3PM'], ['Sunday', '7AM–3PM'], ['Monday', '6AM–3PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great coffee'], 'Popular for': ['Breakfast', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', ""Kids' menu"", 'Quick bite'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups'], 'Payments': ['NFC mobile payments']}",Chicago,Illinois,European Cuisine,18
China Kitchen Restaurant,"China Kitchen Restaurant, 6280 Sharlands Ave, Reno, NV 89523",0x8099441c8cbe4225:0xbe00c2479fa0a5df,,39.5171622,-119.8859688,"['Chinese restaurant', 'Asian restaurant', 'Delivery Restaurant']",3.9,78,,"[['Sunday', '10:30AM–9PM'], ['Monday', '10:30AM–9PM'], ['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9PM'], ['Saturday', '10:30AM–9PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Quick bite'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual'], 'Planning': ['Accepts reservations']}",Reno,Nevada,African & Middle Eastern Cuisine,35
Noodle Place Restaurant,"Noodle Place Restaurant, 2321 E 4th St ste g, Santa Ana, CA 92705",0x80dcd9c09f2007c9:0x62137fd4df1defb6,,33.7488293,-117.8331886,['Restaurant'],4.8,126,,"[['Saturday', '11AM–7:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–7:30PM'], ['Tuesday', '11AM–7:30PM'], ['Wednesday', '11AM–7:30PM'], ['Thursday', '11AM–7:30PM'], ['Friday', '11AM–7:30PM']]","{'Service options': ['Delivery', 'Takeout'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual', 'Cozy']}",Santa Ana,California,American Cuisine,43
Jen Kitchen Chinese Restaurant,"Jen Kitchen Chinese Restaurant, 2362 Fruitridge Rd, Sacramento, CA 95822",0x809ad03172a57617:0xd00f7c8458bdf905,,38.5243751,-121.4842272,['Chinese restaurant'],4.6,115,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups'], 'Planning': ['Accepts reservations']}",Sacramento,California,Chinese Cuisine,14
