Layer,Feature,Sae Type,Sae Size,VocabProj Description,MaxAct Description,TokenChange Description,Ensemble Raw (VP+MA) Description,Ensemble Raw (MA+TC) Description,Ensemble Raw (VP+TC) Description,Ensemble Raw (All) Description,Ensemble Concat (All) Description,VocabProj Input Success,MaxAct Input Success,TokenChange Input Success,Ensemble Raw (VP+MA) Input Success,Ensemble Raw (MA+TC) Input Success,Ensemble Raw (VP+TC) Input Success,Ensemble Raw (All) Input Success,Ensemble Concat (All) Input Success,VocabProj Output Success,MaxAct Output Success,TokenChange Output Success,Ensemble Raw (VP+MA) Output Success,Ensemble Raw (MA+TC) Output Success,Ensemble Raw (VP+TC) Output Success,Ensemble Raw (All) Output Success,Ensemble Concat (All) Output Success
5,51830,mlp,65k,"the use of dispatch functions, possibly in a programming context involving state management and asynchronous operations.",references to legal and technical terms related to a case management system,"This neuron is associated with prioritizing and analyzing elements related to Japanese culture or entities, potentially in a therapeutic or evaluative context.","the main thing this neuron does is find instances of the word ""book"" and related words signaling references to a collection of written works, often in a programming context, and then outputs various terms that reflect programming jargon or miscellaneous technical terminology.","this neuron is triggered by terms related to ""enthusiasm"" and concepts of home, leading to output associated with various forms of prioritization, particularly in a context that likely references Japanese culture or themes.",clinical concepts and patient management.,"the main thing this neuron does is find references to 'book' or 'home', particularly in a coding context, and outputs various technical and metadata-related terms, suggesting a focus on data structures or programming concepts related to managing information.","the use of dispatch functions, possibly in a programming context involving state management and asynchronous operations.
references to legal and technical terms related to a case management system
This neuron is associated with prioritizing and analyzing elements related to Japanese culture or entities, potentially in a therapeutic or evaluative context.",False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
15,10868,mlp,16k,database operations and resource management in software development., references to historical events involving violence or death,"This neuron is associated with topics related to AIDS and disabilities, as well as containing elements of communication and inquiry, such as questioning and referencing links or sources.","Neuron 1 appears to be activated by mentions of events involving violence or death, particularly in narratives or reports, and outputs a range of technical or programming-related terms that do not cohesively relate to its inputs, suggesting it might be capturing context but producing noise.","Neuron 1 detects phrases related to violent events or deaths, specifically focusing on narratives surrounding killings, and outputs a mix of technology-related and digital communication terms, indicating a disconnection between the traumatic input and the seemingly unrelated outputs.","a variety of topics including programming, social media, resources, and possibly health awareness.","Neuron 4 appears to activate in response to sentences and phrases about notable incidents involving individuals, particularly related to murder or violence, and it outputs a mix of technical terms, datasets, and social media references, indicating a possible connection to discussions about crime, history, or reporting in digital formats.","database operations and resource management in software development.
 references to historical events involving violence or death
This neuron is associated with topics related to AIDS and disabilities, as well as containing elements of communication and inquiry, such as questioning and referencing links or sources.",False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
24,12550,res,16k,"the concepts of letters, writing, and alphabets, encompassing various aspects of written communication and typography.",terms related to handwritten character recognition and typesetting processes,"This neuron is related to the art and techniques of writing, calligraphy, and various forms of lettering.","Neuron 1 is activated by terms related to handwriting and character recognition, particularly focusing on ""handwritten"" and ""recognising."" Once triggered, it outputs a variety of tokens primarily associated with letters, scripts, and writing systems, indicating its function in processing language and written forms.","the main thing this neuron does is identify handwriting-related terms, specifically those associated with characters or letters, and then outputs words tied to various writing styles or formats.","letters, writing, and various forms of scripts and alphabets.","the main thing this neuron does is recognize textual elements related to handwriting and alphabets, triggering on terms like ""handwritten"" and ""characters"", and it outputs various forms and concepts of writing and lettering as well as some programming terms that may be noise.","the concepts of letters, writing, and alphabets, encompassing various aspects of written communication and typography.
terms related to handwritten character recognition and typesetting processes
This neuron is related to the art and techniques of writing, calligraphy, and various forms of lettering.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,15698,res,16k,"the concepts of uniqueness, identification, and distinction among various entities or items.",technical details and specific characteristics related to scientific analysis,"This neuron is related to the processes of identification and distinction, focusing on recognizing and differentiating characteristics or entities.","the main thing this neuron does is find phrases or terms related to distinctiveness or identification, and then outputs words associated with uniqueness, recognition, or the quality of being distinguishable.","the main thing this neuron does is identify terms related to the concept of identity or distinguishing features, particularly in contexts of identification and categorization, and it outputs various words that emphasize the distinction or recognition of identities.",distinctiveness and uniqueness.,"Neuron 4 primarily activates on the identification of unique or distinguishing features, likely triggered by terms related to specific characteristics or signatures. Once activated, it outputs words associated with identification and distinctiveness, indicating a role in recognizing and labeling unique attributes or identifiers.","the concepts of uniqueness, identification, and distinction among various entities or items.
technical details and specific characteristics related to scientific analysis
This neuron is related to the processes of identification and distinction, focusing on recognizing and differentiating characteristics or entities.",True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1,2330,res,65k,"automobiles and various terms associated with performance, models, and specifications.", mentions of the gt and related model designations of cars,"This neuron is likely associated with sports or competitive contexts, potentially focusing on game statistics or player performance, indicated by the frequent references to terms like ""GTS"" and ""pieces,"" as well as names suggesting individual athletes or noteworthy moments.","this neuron is activated by the presence of the ""GT"" sequences, particularly in a genetic or coding context, and it outputs a variety of terms related to ""GT,"" such as different nomenclatures, programming terms, and their applications or contexts.","Neuron 1 primarily activates in response to the presence of the nucleotide sequence ""GT,"" signifying its association with genetic or molecular biology terms, and its output includes a variety of terms related to GT in different contexts, potentially indicating sampling variability or references to genetic constructs or sequences.","automobiles, specifically high-performance vehicles and their various model designations.","the main thing this neuron does is identify the token ""GT"" (likely referring to a gene or genetic marker), and then outputs a variety of terms related to that identifier, including its variations, associated concepts, and programming jargon.","automobiles and various terms associated with performance, models, and specifications.
 mentions of the gt and related model designations of cars
This neuron is likely associated with sports or competitive contexts, potentially focusing on game statistics or player performance, indicated by the frequent references to terms like ""GTS"" and ""pieces,"" as well as names suggesting individual athletes or noteworthy moments.",True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
5,65466,res,65k,"user interface elements and interactions in software applications, particularly buttons and their functionalities.",references to buttons and denominators in code snippets,"This neuron is likely related to user interface elements and interactions, particularly buttons or controls within a software context, along with some personal or place names.","the main thing this neuron does is identify instances of buttons in a programming context, specifically the activation and labeling of buttons in user interface design, and outputs a range of terms related to buttons and user interface elements.","the main thing this neuron does is identify button elements and related terminology in a coding context, particularly focusing on the term ""Btn,"" and it outputs various terms loosely associated with buttons or UI elements.","user interface elements, particularly buttons and components used in graphical user interfaces (GUIs).","the main function of this neuron is to identify elements related to buttons in programming contexts, particularly within user interfaces, and then it outputs various terms associated with buttons and user interaction concepts.","user interface elements and interactions in software applications, particularly buttons and their functionalities.
references to buttons and denominators in code snippets
This neuron is likely related to user interface elements and interactions, particularly buttons or controls within a software context, along with some personal or place names.",False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
21,10550,mlp,65k,"various programming and technical elements, indicating a focus on software development, user interactions, and data management.", specifications and details related to motorcycles and their components,"This neuron appears to be associated with technical or programming contexts, possibly related to data handling or graphical components, but it also includes terms suggesting a focus on respect or significance within a specific framework or interaction.","Neuron 1 is triggered by terms related to motorcycles, particularly specific models like ""Honda Africa Twin,"" and it outputs a variety of tokens that seem to represent both technical jargon and irrelevant noise, indicating a focus on motorcycle specifications and features, but also including unrelated programming terms.","the main thing this neuron does is find references to motorcycles and related specifications, and then outputs technical jargon or programming terms that may be associated with performance or manufacturing context.","This vector is related to programming concepts, specifically focusing on options, user interfaces, animations, and various data management elements.","the main thing this neuron does is identify phrases related to motorcycles and their specifications, and it outputs a chaotic mix of unrelated programming and technical jargon, suggesting a possible lack of coherent function in interpreting or generating context-specific language related to motorcycles.","various programming and technical elements, indicating a focus on software development, user interactions, and data management.
 specifications and details related to motorcycles and their components
This neuron appears to be associated with technical or programming contexts, possibly related to data handling or graphical components, but it also includes terms suggesting a focus on respect or significance within a specific framework or interaction.",False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False
21,42908,res,65k,"the concept of contrast and comparison, highlighting definitions and analogies between different terms and ideas."," occurrences of the word ""by"" and variations in context","This neuron is related to the concepts of comparison and contrast, possibly in the context of definitions or evaluations, with potential associations to leisure and specific keywords that imply illicit activities or substances.","the main thing this neuron does is find the word ""By,"" indicating an author or introduction of a method, and then outputs a wide variety of tokens, many of which relate to definitions, comparisons, and contrasts.","Neuron 1 primarily activates in response to the word ""By,"" which appears in various contexts indicating a method or approach, and its output consists of terms that are linked to comparisons or contrasts. This suggests that the neuron is focused on processes or actions that involve describing how something is done or related through contrasting terms.","the concepts of contrast, comparison, and definitions of various terms.","Neuron 4 is triggered by phrases that start with ""By,"" suggesting a focus on explaining processes or implications, and it outputs terms related to definitions, contrasts, and comparisons, indicating a function centered on elucidating relationships or distinctions between concepts.","the concept of contrast and comparison, highlighting definitions and analogies between different terms and ideas.
 occurrences of the word ""by"" and variations in context
This neuron is related to the concepts of comparison and contrast, possibly in the context of definitions or evaluations, with potential associations to leisure and specific keywords that imply illicit activities or substances.",True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True
21,5247,mlp,16k,"the concept of planning or scheduling, particularly in relation to medical or educational contexts.", instances of numerical data and parentheses in scientific or statistical contexts,"This neuron seems to be related to diverse names and locations, as well as programming terms, indicating a potential focus on identity, culture, or software development contexts.","the main thing this neuron does is recognize specific symbols or punctuations (like parentheses) and then outputs a wide array of terms that seem to span various unrelated fields and concepts, suggesting it may be involved in processing diverse or fragmented information.","the main thing this neuron does is detect parentheses in the text, potentially indicating references or subsections, and it outputs a variety of unrelated names, symbols, or coding terms, suggesting a lack of cohesive theme in its output.","the concept of planning and scheduling, particularly in medical or organizational contexts.","Neuron 4 appears to be triggered by the presence of numerical or procedural elements, particularly those related to evaluations or assessments. Once activated, it outputs a wide array of terms—some related to locations, actions, and programming or technical jargon—indicating a possible focus on statistical or evaluative contexts in various fields.","the concept of planning or scheduling, particularly in relation to medical or educational contexts.
 instances of numerical data and parentheses in scientific or statistical contexts
This neuron seems to be related to diverse names and locations, as well as programming terms, indicating a potential focus on identity, culture, or software development contexts.",False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
5,23407,res,65k,web development and components within a front-end framework.,"the presence of the special token ""<bos>""","This neuron is related to recording or documenting information within an enterprise context, possibly involving various entities or individuals.","Neuron 1 is triggered by the special token `<bos>` with a strong activation of 10 and outputs a variety of diverse and unrelated tokens that appear to be primarily programming-related jargon, suggesting this neuron is likely encoding a function related to the beginning of a sequence or a tokenization process in natural language processing or programming contexts.","Neuron 1 is activated by the sequence ""<bos>"", indicating the beginning of a text or sentence, and it outputs various terms, likely related to data processing, recording, or enterprise functions, suggesting a focus on structured data or information management systems.","web development and data handling, particularly with HTML, data structures, and UI components.","the main thing this neuron does is respond to various language tokens that may indicate structure or coding context, particularly focusing on the token ""<bos>"", and outputs are related to programming or structured data handling terms.","web development and components within a front-end framework.
the presence of the special token ""<bos>""
This neuron is related to recording or documenting information within an enterprise context, possibly involving various entities or individuals.",False,False,False,False,True,True,False,True,True,False,False,True,False,True,True,True
24,4622,res,16k,tables and various functionalities or attributes associated with them.,references to documentation or data sets,"This neuron appears to be associated with specific terms related to various contexts, possibly indicating technical or programming-related concepts, as well as references to structural elements or stability.","Neuron 1 primarily detects the presence of specific terms related to testing, conflict, and therapeutic goals, and it produces outputs connected to reporting or documentation, suggesting its role in evidence-based studies or data analysis in a medical or scientific context.","the main thing this neuron does is recognize the presence of testing or reports related to therapeutic applications, and it outputs terms likely linked to structure or categorization, possibly referring to data tables or classifications.","tables, their attributes, and operations associated with them in various contexts like programming and data organization.","the main function of this neuron is to identify technical or medical terminologies related to reports, testing, and analysis, and it outputs words centered around data, documents, and tables.","tables and various functionalities or attributes associated with them.
references to documentation or data sets
This neuron appears to be associated with specific terms related to various contexts, possibly indicating technical or programming-related concepts, as well as references to structural elements or stability.",False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False
9,12645,res,65k,choosing preferences and making decisions in various contexts.,concepts related to organizing events or gatherings,"This neuron is associated with themes of begging, choices, and training, possibly reflecting on the experiences and decisions faced by individuals in difficult circumstances.","this neuron activates when encountering phrases that pose questions about organization or social scenarios, particularly around planning events, and it outputs a range of terms that seem disjointed, potentially indicating a focus on aspects of choice, processes, or coding-related jargon.","the main thing this neuron does is identify potential hypothetical questions or prompts regarding organization and participation, particularly in the context of social gatherings, and it outputs a range of seemingly unrelated terms, which may include various concepts and symbols, reflecting a mixed theme surrounding choice, role, and invitation dynamics.","the themes of choice, hunger, and assistance, focusing on desires and needs such as wishing, begging, and the provision of aid.","Neuron 4 is primarily activated by the concept of organizing social gatherings or interactive experiences and outputs words that relate to creative and experimental expressions, often reflecting a whimsical or imaginative tone.","choosing preferences and making decisions in various contexts.
concepts related to organizing events or gatherings
This neuron is associated with themes of begging, choices, and training, possibly reflecting on the experiences and decisions faced by individuals in difficult circumstances.",False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True
4,16867,mlp,65k,"information management and data handling in a software or web context, involving elements like tagging, logging, and structured data formats.", references to individual names or specific identifiers within a dialogue,"This neuron is associated with diverse topics including reading, fishing, airlines, literature, software, and insurance, suggesting a focus on both leisure activities and technical or administrative fields.","Neuron 1 is activated by phrases that contain the letter sequence ""P"" and outputs a variety of technical or programming jargon, as well as other seemingly unrelated terms and tokens. This suggests it may function as a filter for specific structures or jargon typically found in technical language.","Neuron 1 is activated by certain punctuation and phrases, particularly quotations, which lead to outputs that consist of a variety of seemingly unrelated terms and names, possibly indicating a focus on dialogue or narrative elements. The neuron seems to capture the nuances of communication within text, possibly related to a mix of literary references and technical jargon.","programming concepts and data structures, particularly in the context of web development and error handling.","Neuron 4 is activated by the presence of punctuation marks and certain formatting symbols, particularly in dialogue, and outputs a variety of words that seem to represent programming jargon, technical terms, and possibly foreign language elements, indicating its role in capturing structured or coded language.","information management and data handling in a software or web context, involving elements like tagging, logging, and structured data formats.
 references to individual names or specific identifiers within a dialogue
This neuron is associated with diverse topics including reading, fishing, airlines, literature, software, and insurance, suggesting a focus on both leisure activities and technical or administrative fields.",False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
16,15165,mlp,65k,self-reflection and the concept of identity., punctuation marks related to concluding thoughts or statements,"This neuron is associated with expressions of uncertainty, emotion, and commentary on situations, often reflecting a range of sentiments such as understanding, sadness, and thankfulness.","Neuron 1 appears to detect contexts related to legal or regulatory issues, likely focusing on topics involving detention or charges, producing a diverse set of outputs that includes terms related to self-reference or purpose, which might indicate a thematic association with individual rights or societal implications of such circumstances.","this neuron detects the presence of punctuation, specifically periods and certain phrases, and outputs words that reflect various sentiments or expressions typically associated with commentaries or narratives.","the concept of self, purpose, and varying degrees of possibility or uncertainty in statements about existence or identity.","Neuron 4 appears to activate on text related to legal and societal issues, particularly around confinement without charges, and outputs phrases that indicate uncertainty or speculation, often reflecting a sense of concern or criticism regarding the topics at hand.","self-reflection and the concept of identity.
 punctuation marks related to concluding thoughts or statements
This neuron is associated with expressions of uncertainty, emotion, and commentary on situations, often reflecting a range of sentiments such as understanding, sadness, and thankfulness.",False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True
11,6585,mlp,65k,"this vector is related to programming concepts, user interface elements, and various aspects of localization or versions in software development.", legal terms and references related to court decisions and procedural actions,"This neuron is associated with issues of spelling, order, and criticism, as well as alternative presentations or responses.","the main thing this neuron does is identify legal terminology or instruction phrases in a document, and then it outputs a diverse mix of related technical and programming terms, indicating a focus on structured data or function definitions.","Neuron 1 appears to be triggered by legal terminology and court-related phrases, primarily focusing on processes around remand and amendments in legal contexts, and outputs a mix of related concepts and terms, some of which are disjointed or unrelated, including typographical noises and references to classification systems.","various programming concepts and terms, possibly indicating a focus on UI elements, event handling, and asynchronous execution in software development.","the main thing this neuron does is identify specific legal or procedural terms, potentially within a judicial context, and then outputs various terms that are related to disorder, inconsistency, or misspellings, reflecting a focus on the chaos or error present in legal documentation.","this vector is related to programming concepts, user interface elements, and various aspects of localization or versions in software development.
 legal terms and references related to court decisions and procedural actions
This neuron is associated with issues of spelling, order, and criticism, as well as alternative presentations or responses.",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
16,15037,res,16k,administration concepts and various programming constructs.,elements and structured data in html or xml format,"This neuron is related to the concept of categorizing or referring to ""others,"" possibly in the context of lists or inclusivity across different languages.","the main thing this neuron does is detect HTML or XML-like list item tags and their associated structure, and then outputs a wide variety of terms that seem to originate from programming languages, frameworks, and potentially related technical jargon.","the main thing this neuron does is identify HTML list-related tags or structures, and then outputs terms that are often associated with alternative or miscellaneous categories, suggesting a focus on content that does not fit neatly into defined lists or classifications.","various entities, functions, and programming concepts, indicating a focus on diverse coding elements and how they integrate within software development.","Neuron 4 appears to be triggered by HTML list elements and various formatting characters, producing outputs that suggest a focus on general coding terminology and various words indicating otherness or distinction, possibly in the context of content organization or categorization within programming or formatted text.","administration concepts and various programming constructs.
elements and structured data in html or xml format
This neuron is related to the concept of categorizing or referring to ""others,"" possibly in the context of lists or inclusivity across different languages.",False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True
