epsilon,seed,method,balancedness_est,all_mse,related_mse,outlier_mse,selected_q
0.05,61,OURS,1.0000000000000007,0.004687455954656341,0.0011893893527645091,0.10613138740951943,16.0
0.05,71,DP,1.0000000000000007,0.033921406171897844,0.032214646950100755,0.08341742360401352,
0.05,71,ITL,1.0000000000000007,0.03703323164181445,0.03684630640105897,0.042454063623723275,
0.05,71,ARMUL,1.0000000000000007,0.03043662979294617,0.029706703022899066,0.051604506124312194,0.1
0.05,71,OURS,1.0000000000000007,0.005104904127879255,0.003959099131753256,0.038333249015533234,16.0
0.05,81,DP,1.0000000000000007,0.04073564729996169,0.03818456299103306,0.11471709225889143,
0.05,81,ITL,1.0000000000000007,0.04280831780850429,0.040922014062369214,0.09751112644642179,
0.05,81,ARMUL,1.0000000000000007,0.039214956674508986,0.03663809272967033,0.11394401107482972,0.1
0.05,81,OURS,1.0000000000000007,0.005886446132925221,0.0029612433471572805,0.09071732692019555,16.0
0.05,91,DP,1.0000000000000007,0.04196614775836648,0.041222766821829286,0.0635241949179452,
0.05,91,ITL,1.0000000000000007,0.04229717215907894,0.042453549778629494,0.03776222119211286,
0.05,91,ARMUL,1.0000000000000007,0.0397166622577809,0.03895028932223833,0.06194147738851514,0.1
0.05,91,OURS,1.0000000000000007,0.006114728557555412,0.0009307640780779829,0.15644969846240087,16.0
0.05,101,DP,1.0000000000000007,0.03912380230408538,0.039300044063312264,0.03401279128650561,
0.05,101,ITL,1.0000000000000007,0.041892999872672164,0.04225039744116554,0.031528470386364325,
0.05,101,ARMUL,1.0000000000000007,0.03845635541147929,0.03857926005328446,0.034892120799129185,0.1
0.05,101,OURS,1.0000000000000007,0.005369581970549008,0.004468962573039305,0.0314875444983304,8.0
0.05,111,DP,1.0000000000000007,0.0402249312620618,0.03695317948933368,0.13510573267117731,
0.05,111,ITL,1.0000000000000007,0.04462921452843248,0.04211588751038908,0.11751569805169113,
0.05,111,ARMUL,1.0000000000000007,0.037408070544426075,0.03435988287095938,0.12580551307496,0.1
0.05,111,OURS,1.0000000000000007,0.004322031201910618,0.0007888475634583021,0.10678435671702782,16.0
0.05,121,DP,1.0000000000000007,0.045356125155553116,0.04046968031302835,0.1870630255887714,
0.05,121,ITL,1.0000000000000007,0.04364617654246979,0.04077831402533779,0.1268141895392981,
0.05,121,ARMUL,1.0000000000000007,0.04347664075123584,0.03859473500111267,0.18505190750480766,0.1
0.05,121,OURS,1.0000000000000007,0.01619277620615318,0.007222611992708913,0.2763275383960369,4.0
0.05,131,DP,1.0000000000000007,0.0401152076938496,0.03950188811401369,0.05790147550909101,
0.05,131,ITL,1.0000000000000007,0.04272236990788036,0.04239243038465954,0.05229061608128403,
0.05,131,ARMUL,1.0000000000000007,0.03824349893168786,0.037555918595898,0.05818332866959392,0.1
0.05,131,OURS,1.0000000000000007,0.0030999663106855957,0.0003012778398661112,0.08426193196445063,16.0
0.05,141,DP,1.0000000000000007,0.04108905180154607,0.037958334392067423,0.13187985667642682,
0.05,141,ITL,1.0000000000000007,0.042403744513638014,0.03996494584012491,0.1131289060455179,
0.05,141,ARMUL,1.0000000000000007,0.039255146058719,0.03605727716398924,0.1319933440058818,0.1
0.05,141,OURS,1.0000000000000007,0.006109128396814391,0.0011194161907684338,0.15081078237214718,16.0
0.05,151,DP,1.0000000000000007,0.03828524777489416,0.03853442506946875,0.031059106232230967,
0.05,151,ITL,1.0000000000000007,0.03929184097527519,0.03949369862616768,0.03343796909939281,
0.05,151,ARMUL,1.0000000000000007,0.03652933228879644,0.036716970718872234,0.03108781781659883,0.1
0.05,151,OURS,1.0000000000000007,0.0032503531729300063,0.0011524499309682927,0.06408954718981971,16.0
0.05,161,DP,1.0000000000000007,0.03492825588576251,0.03427207690173417,0.053957446422584224,
0.05,161,ITL,1.0000000000000007,0.036672823392538655,0.036196512953360835,0.05048582612869559,
0.05,161,ARMUL,1.0000000000000007,0.03157696391567838,0.030834251295824087,0.05311562989145291,0.1
0.05,161,OURS,1.0000000000000007,0.005663080008537308,0.0019795599722944256,0.11248516105958088,16.0
0.05,171,DP,1.0000000000000007,0.040052137704312755,0.037879214101511835,0.10306692218553959,
0.05,171,ITL,1.0000000000000007,0.04226683933575691,0.041244586755895325,0.0719121641517429,
0.05,171,ARMUL,1.0000000000000007,0.036560513008326294,0.03434332650719137,0.100858921541239,0.1
0.05,171,OURS,1.0000000000000007,0.007861933426794174,0.0018370573713263577,0.18258333903536086,16.0
0.05,181,DP,1.0000000000000007,0.044127084773334206,0.035998025678248405,0.2798697985308225,
0.05,181,ITL,1.0000000000000007,0.04802214203809138,0.04002562698235773,0.2799210786543671,
0.05,181,ARMUL,1.0000000000000007,0.041891383617831957,0.03350466178331072,0.2851063168189479,0.1
0.05,181,OURS,1.0000000000000007,0.007886005727864971,0.0011912681448054759,0.20203339563659037,16.0
0.05,191,DP,1.0000000000000007,0.043515028878221076,0.040100840129617385,0.1425265025877278,
0.05,191,ITL,1.0000000000000007,0.04297262009668541,0.04083677783701332,0.10491204562717607,
0.05,191,ARMUL,1.0000000000000007,0.04178072714945396,0.03835077982218564,0.1412491996402353,0.1
0.05,191,OURS,1.0000000000000007,0.010727646305757867,0.0036231296478951907,0.21675862938377546,4.0
0.05,201,DP,1.0000000000000007,0.03519670642913664,0.03440907998656002,0.058037873263858515,
0.05,201,ITL,1.0000000000000007,0.03714715136198336,0.036223311763395244,0.06393849972103877,
0.05,201,ARMUL,1.0000000000000007,0.03284971289172838,0.0319713266833935,0.05832291293343981,0.1
0.05,201,OURS,1.0000000000000007,0.0037516095050904004,0.0005760589290456806,0.09584257621038728,16.0
0.05,211,DP,1.0000000000000007,0.03955049227670435,0.039314544758821075,0.0463929702953194,
0.05,211,ITL,1.0000000000000007,0.04073161485462901,0.041011053601188126,0.03262789120441476,
0.05,211,ARMUL,1.0000000000000007,0.03708073157242377,0.036809003618844406,0.04496084222622519,0.1
0.05,211,OURS,1.0000000000000007,0.005171988637917471,0.0009411366993293926,0.12786669485697175,16.0
0.05,221,DP,1.0000000000000007,0.05552652381807632,0.039421105760666604,0.522583647482958,
0.05,221,ITL,1.0000000000000007,0.05291632135010918,0.04447939191065176,0.2975872750943743,
0.05,221,ARMUL,1.0000000000000007,0.049398148902555845,0.03983859126192502,0.32662532048084947,0.1
0.05,221,OURS,1.0000000000000007,0.012135002378149068,0.0006602924856403705,0.3449015892609013,16.0
0.05,231,DP,1.0000000000000007,0.03656183174752855,0.03251972582986982,0.15378290335963193,
0.05,231,ITL,1.0000000000000007,0.039657410346557155,0.03764540663285932,0.0980055180437945,
0.05,231,ARMUL,1.0000000000000007,0.03250466942501327,0.029888303154426223,0.10837929127203758,0.1
0.05,231,OURS,1.0000000000000007,0.004788223795087847,0.0027413988514779575,0.06414614715977462,16.0
0.05,241,DP,1.0000000000000007,0.040006167984670306,0.03390572751615087,0.216918941571734,
0.05,241,ITL,1.0000000000000007,0.03890202056520129,0.03445160373460524,0.1679641086524869,
0.05,241,ARMUL,1.0000000000000007,0.036957496667944345,0.03084698702252409,0.21416227638513177,0.1
0.05,241,OURS,1.0000000000000007,0.011946461178875555,0.0012094671151742994,0.32331928902621204,16.0
0.05,251,DP,1.0000000000000007,0.036088644331052765,0.03470910669658382,0.07609523573065197,
0.05,251,ITL,1.0000000000000007,0.037205000400009305,0.03685768737953452,0.0472770779937783,
0.05,251,ARMUL,1.0000000000000007,0.032797125474614275,0.03140362039571505,0.07320877276269157,0.1
0.05,251,OURS,1.0000000000000007,0.005881068096587696,0.00017553767485314848,0.1713414503268896,16.0
0.05,261,DP,1.0000000000000007,0.04199291046538757,0.041384566326342236,0.05963489049770224,
0.05,261,ITL,1.0000000000000007,0.0439672854742259,0.042991806824557444,0.07225616631461126,
0.05,261,ARMUL,1.0000000000000007,0.03971638609509998,0.03900308048572859,0.0604022487668703,0.1
0.05,261,OURS,1.0000000000000007,0.0035493246985733216,0.001740329060355089,0.05601019820690208,16.0
0.05,271,DP,1.0000000000000007,0.0461141431789942,0.046139148962101036,0.045388975468895774,
0.05,271,ITL,1.0000000000000007,0.050463365986803496,0.05065405018077948,0.044933524361500034,
0.05,271,ARMUL,1.0000000000000007,0.043791833586278126,0.043692722054923076,0.04666606799557465,0.1
0.05,271,OURS,1.0000000000000007,0.002531306533262988,0.0014418697440390681,0.03412497342075666,16.0
0.05,281,DP,1.0000000000000007,0.03881393128191108,0.03693277940663567,0.09336733566489773,
0.05,281,ITL,1.0000000000000007,0.03882482864083073,0.037662631186965,0.07252855480293662,
0.05,281,ARMUL,1.0000000000000007,0.03585435005993723,0.033931730651781046,0.0916103128964665,0.1
0.05,281,OURS,1.0000000000000007,0.006967357531129165,0.0014730714294969368,0.1663016544784638,8.0
0.05,291,DP,1.0000000000000007,0.04362931851579001,0.04126315248073897,0.11224813353227008,
0.05,291,ITL,1.0000000000000007,0.04479694889853133,0.04295850866458385,0.09811171568300812,
0.05,291,ARMUL,1.0000000000000007,0.04162612281766405,0.0392200553851343,0.1114020783610263,0.1
0.05,291,OURS,1.0000000000000007,0.007230903599425548,0.0019355123946038178,0.16079724853925567,16.0
0.1,1,DP,1.0000000000000007,0.042157854208445325,0.04215864247265796,0.04215075983053159,
0.1,1,ITL,1.0000000000000007,0.04240630832220622,0.04170250901233334,0.04874050211106196,
0.1,1,ARMUL,1.0000000000000007,0.03922975134907894,0.039452878507870354,0.037221606919956185,0.1
0.1,1,OURS,1.0000000000000007,0.007348141073011638,0.0017933879667133776,0.057340919029695986,16.0
0.1,11,DP,1.0000000000000007,0.036583369698118505,0.03231608729203826,0.07498891135284062,
0.1,11,ITL,1.0000000000000007,0.035017743872133716,0.030949704267803746,0.07163010031110341,
0.1,11,ARMUL,1.0000000000000007,0.032546156884036864,0.027786111123390102,0.07538656872985776,0.1
0.1,11,OURS,1.0000000000000007,0.014356731477862978,0.003060327976257088,0.11602436299231596,8.0
0.1,21,DP,1.0000000000000007,0.05092998226727662,0.045553913966037377,0.09931459697842981,
0.1,21,ITL,1.0000000000000007,0.0465854511572326,0.04270491101280186,0.08151031245710927,
0.1,21,ARMUL,1.0000000000000007,0.04825780362195883,0.042744092920836994,0.09788119993205528,0.1
0.1,21,OURS,1.0000000000000007,0.017244825925951012,0.0024080067664372547,0.15077619836157488,16.0
0.1,31,DP,1.0000000000000007,0.04321977581342595,0.03915355697087271,0.07981574539640511,
0.1,31,ITL,1.0000000000000007,0.042730008125000156,0.04082800261336677,0.059848057729700664,
0.1,31,ARMUL,1.0000000000000007,0.04155378322253288,0.03777262838434523,0.07558417676622174,0.1
0.1,31,OURS,1.0000000000000007,0.01641937701425188,0.0044532586736773724,0.12411444207942246,8.0
0.1,41,DP,1.0000000000000007,0.048475668261035866,0.044735040714982216,0.08214131617551872,
0.1,41,ITL,1.0000000000000007,0.04698209650754892,0.04519435248472278,0.06307179271298428,
0.1,41,ARMUL,1.0000000000000007,0.04615854741331269,0.04227689090503768,0.08109345598778778,0.1
0.1,41,OURS,1.0000000000000007,0.01760602739005798,0.003300754233643476,0.14635348579778854,16.0
0.1,51,DP,1.0000000000000007,0.043908810676571104,0.03462732781431772,0.12744215643685142,
0.1,51,ITL,1.0000000000000007,0.042169330079830966,0.03583771813235862,0.09915383760708207,
0.1,51,ARMUL,1.0000000000000007,0.0403996002193916,0.030971937853443106,0.12524856151292799,0.1
0.1,51,OURS,1.0000000000000007,0.016234751776254493,0.0005441421152825552,0.15745023872500194,16.0
0.1,61,DP,1.0000000000000007,0.04845011487744678,0.03040432035178792,0.21086226560837637,
0.1,61,ITL,1.0000000000000007,0.043886046125101406,0.0337151927423733,0.13542372656965426,
0.1,61,ARMUL,1.0000000000000007,0.039687427014527654,0.02870353150993039,0.13854248655590304,0.1
0.1,61,OURS,1.0000000000000007,0.013630542904418676,0.0016659177151813953,0.1213121696075542,16.0
0.1,71,DP,1.0000000000000007,0.04659897051612809,0.04542889532646552,0.0571296472230913,
0.1,71,ITL,1.0000000000000007,0.04560154263326654,0.04070101651261072,0.08970627771916884,
0.1,71,ARMUL,1.0000000000000007,0.04417261560544404,0.04268891378970301,0.05752593194711328,0.1
0.1,71,OURS,1.0000000000000007,0.009900192463896363,0.003216251602631887,0.07005566021527664,16.0
0.1,81,DP,1.0000000000000007,0.046399220554634676,0.03785616990276958,0.12328667642142051,
0.1,81,ITL,1.0000000000000007,0.04451051531260113,0.03790620174181879,0.10394933744964237,
0.1,81,ARMUL,1.0000000000000007,0.044134228810535935,0.035258185852429645,0.12401861543349259,0.1
0.1,81,OURS,1.0000000000000007,0.013725437762489119,0.0021697799162817407,0.11772635837835554,4.0
0.1,91,DP,1.0000000000000007,0.05579731255292253,0.03732313180237453,0.22206493930785462,
0.1,91,ITL,1.0000000000000007,0.04948150369309919,0.039204103198791876,0.14197810814186493,
0.1,91,ARMUL,1.0000000000000007,0.04978391301799194,0.036357122633640944,0.17062502647715086,0.1
0.1,91,OURS,1.0000000000000007,0.02150292646676513,0.0011255849336666872,0.2048990002646511,16.0
0.1,101,DP,1.0000000000000007,0.04300955105903743,0.04167540389697648,0.05501687551758596,
0.1,101,ITL,1.0000000000000007,0.04362731692972396,0.042129398080700486,0.057108586570935184,
0.1,101,ARMUL,1.0000000000000007,0.04012449718964564,0.03838817238770347,0.055751420407125184,0.1
0.1,101,OURS,1.0000000000000007,0.011074758505601792,0.005283942801656838,0.06319209984110637,8.0
0.1,111,DP,1.0000000000000007,0.04928204904552463,0.039313339738544735,0.13900043280834382,
0.1,111,ITL,1.0000000000000007,0.04346451022857589,0.037940841791237634,0.09317752616462026,
0.1,111,ARMUL,1.0000000000000007,0.046643195773941735,0.03773251205615042,0.1268393492340635,0.1
0.1,111,OURS,1.0000000000000007,0.01658339358263773,0.0019600210559681244,0.14819374632266416,16.0
0.1,121,DP,1.0000000000000007,0.046140407548246304,0.041283230908111826,0.08985499730945663,
0.1,121,ITL,1.0000000000000007,0.046478462268376514,0.04437518416644455,0.06540796518576429,
0.1,121,ARMUL,1.0000000000000007,0.04286125288473535,0.03929441317317805,0.07496281028875115,0.1
0.1,121,OURS,1.0000000000000007,0.012196190828184674,0.002624016520929218,0.0983457595934838,16.0
0.1,131,DP,1.0000000000000007,0.03705976396884208,0.030929254624652673,0.09223434806654673,
0.1,131,ITL,1.0000000000000007,0.0328768338300527,0.02840953341242922,0.07308253758866402,
0.1,131,ARMUL,1.0000000000000007,0.03339872593875504,0.02710133856174524,0.09007521233184328,0.1
0.1,131,OURS,1.0000000000000007,0.018175200839311796,0.002233668211079941,0.16164899449339848,16.0
0.1,141,DP,1.0000000000000007,0.040398015697895,0.03147960306602076,0.12066372938476318,
0.1,141,ITL,1.0000000000000007,0.04100567685770575,0.03290813516939291,0.11388355205252139,
0.1,141,ARMUL,1.0000000000000007,0.03766288888506273,0.028342177784934502,0.12154928878621675,0.1
0.1,141,OURS,1.0000000000000007,0.015079670075084315,0.0010209554694765063,0.14160810152555459,16.0
0.1,151,DP,1.0000000000000007,0.05522439926353936,0.03795290440755393,0.2106678529674081,
0.1,151,ITL,1.0000000000000007,0.04658405152285754,0.0394456284700588,0.11082985899804637,
0.1,151,ARMUL,1.0000000000000007,0.0454213697730744,0.035440818339418305,0.13524633267597924,0.1
0.1,151,OURS,1.0000000000000007,0.023340661342725208,0.0022313816922725155,0.21332417819679947,16.0
0.1,161,DP,1.0000000000000007,0.03908303103203395,0.03678771733422185,0.059740854312342884,
0.1,161,ITL,1.0000000000000007,0.040557692511787514,0.03681799775593569,0.07421494531445384,
0.1,161,ARMUL,1.0000000000000007,0.03696184646477008,0.03428072910101224,0.06109190273859063,0.1
0.1,161,OURS,1.0000000000000007,0.007708767730775993,0.0018370132339889291,0.060554558201859565,16.0
0.1,171,DP,1.0000000000000007,0.04285904043596472,0.03927694298369686,0.07509791750637546,
0.1,171,ITL,1.0000000000000007,0.04198447862722817,0.03670856362069196,0.08946771368605407,
0.1,171,ARMUL,1.0000000000000007,0.0404550990503453,0.03654092561021445,0.07568266001152292,0.1
0.1,171,OURS,1.0000000000000007,0.010369983911321852,0.0007419615964465678,0.09702218474519941,16.0
0.1,181,DP,1.0000000000000007,0.04309137404144434,0.03192802572337977,0.14356150890402555,
0.1,181,ITL,1.0000000000000007,0.040614737619140064,0.033953968108002046,0.10056166321938233,
0.1,181,ARMUL,1.0000000000000007,0.038626178720109504,0.03015389127395523,0.11487676573549799,0.1
0.1,181,OURS,1.0000000000000007,0.018371022230230117,0.007773936276157341,0.11374479581688506,8.0
0.1,191,DP,1.0000000000000007,0.04664255585170475,0.038775882787455807,0.11744261342994526,
0.1,191,ITL,1.0000000000000007,0.047799363465940346,0.0417056764473157,0.10264254663356209,
0.1,191,ARMUL,1.0000000000000007,0.043699493185768136,0.03566029908037048,0.11605224013434705,0.1
0.1,191,OURS,1.0000000000000007,0.009286165510884724,0.0011640133945550759,0.08238553455785155,16.0
0.1,201,DP,1.0000000000000007,0.0525536526796523,0.04796505897196233,0.09385099604886216,
0.1,201,ITL,1.0000000000000007,0.05046879995260588,0.04634882043680971,0.08754861559477134,
0.1,201,ARMUL,1.0000000000000007,0.05074548841157969,0.04594598726567042,0.09394099872476318,0.1
0.1,201,OURS,1.0000000000000007,0.01483356213067435,0.004918181730003625,0.10407198573671084,16.0
0.1,211,DP,1.0000000000000007,0.042612976673111765,0.03637246416494675,0.09877758924659692,
0.1,211,ITL,1.0000000000000007,0.04128503054107421,0.03713347865096059,0.07864899755209669,
0.1,211,ARMUL,1.0000000000000007,0.04081387078905655,0.03492623262567097,0.09380261425952681,0.1
0.1,211,OURS,1.0000000000000007,0.012681631633492584,0.0011113241774911064,0.11681439873750592,16.0
0.1,221,DP,1.0000000000000007,0.05071476237402319,0.03160326229516562,0.2227182630837414,
0.1,221,ITL,1.0000000000000007,0.05017995419475828,0.03891132725179943,0.15159759668138784,
0.1,221,ARMUL,1.0000000000000007,0.043053878165415435,0.02942407650598342,0.16572209310030364,0.1
0.1,221,OURS,1.0000000000000007,0.012559941124501178,0.0010646095241884758,0.11601792552731549,16.0
0.1,231,DP,1.0000000000000007,0.04133306450656629,0.03473807425366642,0.1006879767826651,
0.1,231,ITL,1.0000000000000007,0.039976910390838845,0.03495331359537305,0.0851892815500311,
0.1,231,ARMUL,1.0000000000000007,0.038181890729547814,0.03184493772428941,0.09521446777687341,0.1
0.1,231,OURS,1.0000000000000007,0.014697237862958706,0.0010285546703880848,0.1377153865960943,16.0
0.1,241,DP,1.0000000000000007,0.04367555885615134,0.03469556938021095,0.1244954641396148,
0.1,241,ITL,1.0000000000000007,0.04402359202316753,0.037643587165707176,0.10144363574031068,
0.1,241,ARMUL,1.0000000000000007,0.0394577999215189,0.03163362296177328,0.10987539255922947,0.1
0.1,241,OURS,1.0000000000000007,0.009948174447036346,0.0009130707663860502,0.09126410757288901,16.0
0.1,251,DP,1.0000000000000007,0.05037526611206899,0.03683369854180829,0.17224937424441525,
0.1,251,ITL,1.0000000000000007,0.050512585143905234,0.04191157280770585,0.1279216961696997,
0.1,251,ARMUL,1.0000000000000007,0.04541399915390436,0.03588364480001172,0.13118718833893808,0.1
0.1,251,OURS,1.0000000000000007,0.011711517016395426,0.003350298505093077,0.08696248361811658,8.0
0.1,261,DP,1.0000000000000007,0.049886851500222096,0.04356235673565413,0.1068073043813338,
0.1,261,ITL,1.0000000000000007,0.05078390798290497,0.046281846676285626,0.09130245974247907,
0.1,261,ARMUL,1.0000000000000007,0.046278059149824725,0.0415713233872366,0.08863868101311793,0.1
0.1,261,OURS,1.0000000000000007,0.00810796322617148,0.0015650365589438722,0.06699430323121995,16.0
0.1,271,DP,1.0000000000000007,0.04802345708601956,0.03544207646530053,0.16125588267249089,
0.1,271,ITL,1.0000000000000007,0.0464614631482262,0.03980741653233723,0.10634788269122687,
0.1,271,ARMUL,1.0000000000000007,0.042812719794859774,0.03392824789018847,0.12277296693690155,0.1
0.1,271,OURS,1.0000000000000007,0.012395586566707528,0.0005108336521564605,0.11935836279766714,16.0
0.1,281,DP,1.0000000000000007,0.04684211118515348,0.04081375636714425,0.10109730454723649,
0.1,281,ITL,1.0000000000000007,0.0460423344567776,0.04021569854730039,0.09848205764207257,
0.1,281,ARMUL,1.0000000000000007,0.04420948999953347,0.037815013667759384,0.10175977698550025,0.1
0.1,281,OURS,1.0000000000000007,0.012453328972423077,0.0019696441783790338,0.10680649211881947,16.0
0.1,291,DP,1.0000000000000007,0.06024480366658557,0.03492046564806812,0.2881638458332425,
0.1,291,ITL,1.0000000000000007,0.056140163475312116,0.04274989797950569,0.17665255293757,
0.1,291,ARMUL,1.0000000000000007,0.049924169924870386,0.034261357893767684,0.19088947820479474,0.1
0.1,291,OURS,1.0000000000000007,0.017292880909177837,0.001171965330013407,0.16238112112165773,16.0
0.2,1,DP,1.0000000000000007,0.05230281875639672,0.042011650349865044,0.09346749238252339,
0.2,1,ITL,1.0000000000000007,0.04771587426014771,0.03850386703962098,0.08456390314225465,
0.2,1,ARMUL,1.0000000000000007,0.049277680041438426,0.03913720771235026,0.08983956935779114,0.1
0.2,1,OURS,1.0000000000000007,0.02051639034188232,0.0022836265285707553,0.09344744559512858,16.0
0.2,11,DP,1.0000000000000007,0.05685552775635147,0.04340651153596092,0.11065159263791365,
0.2,11,ITL,1.0000000000000007,0.049393286013218414,0.0387502999989534,0.0919652300702785,
0.2,11,ARMUL,1.0000000000000007,0.053066782974111486,0.04038724858486916,0.10378492053108075,0.1
0.2,11,OURS,1.0000000000000007,0.028932298339219217,0.004968444923702781,0.12478771200128495,16.0
0.2,21,DP,1.0000000000000007,0.051550578604883074,0.036045593164365584,0.11357052036695305,
0.2,21,ITL,1.0000000000000007,0.052295114545573784,0.04473357313943043,0.08254128017014721,
0.2,21,ARMUL,1.0000000000000007,0.04598651380507245,0.03530925648952351,0.08869554306726828,0.1
0.2,21,OURS,1.0000000000000007,0.01243262616108634,0.00320573817749144,0.049340178095465946,8.0
0.2,31,DP,1.0000000000000007,0.06916805383025197,0.024846596236011875,0.2464538842072124,
0.2,31,ITL,1.0000000000000007,0.055639001384383296,0.03463865548457056,0.13964038498363426,
0.2,31,ARMUL,1.0000000000000007,0.04936686225198704,0.025399633956262536,0.1452357754348851,0.1
0.2,31,OURS,1.0000000000000007,0.030417791545736338,0.007442040558514482,0.12232079549462375,16.0
0.2,41,DP,1.0000000000000007,0.05547595128107581,0.037179326105313444,0.1286624519841253,
0.2,41,ITL,1.0000000000000007,0.04859367532278091,0.03946979945464996,0.08508917879530477,
0.2,41,ARMUL,1.0000000000000007,0.046547500382433875,0.034662443002594,0.09408772990179343,0.1
0.2,41,OURS,1.0000000000000007,0.022389057384402337,0.003017489359357269,0.09987532948458261,8.0
0.2,51,DP,1.0000000000000007,0.05493004029650194,0.04910268748170171,0.0782394515557028,
0.2,51,ITL,1.0000000000000007,0.050226682332204606,0.04524329979470998,0.07016021248218306,
0.2,51,ARMUL,1.0000000000000007,0.0518999414303181,0.04604676058449276,0.07531266481361944,0.1
0.2,51,OURS,1.0000000000000007,0.024940119505165295,0.0033860514531581024,0.11115639171319407,16.0
0.2,61,DP,1.0000000000000007,0.045995179759723025,0.04028724969438164,0.06882690002108856,
0.2,61,ITL,1.0000000000000007,0.04249435594527342,0.03793749535657323,0.06072179830007415,
0.2,61,ARMUL,1.0000000000000007,0.0429767359083812,0.03730111629022998,0.06567921438098603,0.1
0.2,61,OURS,1.0000000000000007,0.014474248062410228,0.0012048492417425195,0.06755184334508105,16.0
0.2,71,DP,1.0000000000000007,0.05857868371513138,0.03612812978995242,0.14838089941584717,
0.2,71,ITL,1.0000000000000007,0.05292584263551285,0.04100387191911433,0.10061372550110693,
0.2,71,ARMUL,1.0000000000000007,0.050504264064178093,0.03329803116453323,0.1193291956627575,0.1
0.2,71,OURS,1.0000000000000007,0.025642771397214267,0.0010198137263297193,0.12413460208075246,16.0
0.2,81,DP,1.0000000000000007,0.05119795977684675,0.048631667965846316,0.06146312702084842,
0.2,81,ITL,1.0000000000000007,0.04721229846197358,0.04456965523243341,0.05778287138013421,
0.2,81,ARMUL,1.0000000000000007,0.046796514559246265,0.043131209629890865,0.061457734276667814,0.1
0.2,81,OURS,1.0000000000000007,0.02241344025822705,0.00722144047737192,0.08318143938164756,8.0
0.2,91,DP,1.0000000000000007,0.048419653553045346,0.03916941927654397,0.08542059065905082,
0.2,91,ITL,1.0000000000000007,0.04606794452216919,0.03695430959831255,0.08252248421759577,
0.2,91,ARMUL,1.0000000000000007,0.04502439801581066,0.03497763998092677,0.0852114301553462,0.1
0.2,91,OURS,1.0000000000000007,0.019760149395751145,0.0018256543564974896,0.09149812955276576,16.0
0.2,101,DP,1.0000000000000007,0.0612428592469663,0.04411643914493272,0.12974853965510066,
0.2,101,ITL,1.0000000000000007,0.05038054632312328,0.04018585285446356,0.0911593201977622,
0.2,101,ARMUL,1.0000000000000007,0.05633467612186332,0.04189897206282819,0.11407749235800385,0.1
0.2,101,OURS,1.0000000000000007,0.034089582369922274,0.0018464600059202394,0.16306207182593047,16.0
