delta,seed,method,balancedness_est,all_mse,related_mse,outlier_mse,selected_q
0.2,201,DP,1.0000000000000007,0.05190492617613925,0.047239269551347905,0.09389583579926135,
0.2,201,ITL,1.0000000000000007,0.049906937397957395,0.045724528709422514,0.08754861559477134,
0.2,201,ARMUL,1.0000000000000007,0.05013778352432493,0.04526508761657649,0.09399204669406092,0.1
0.2,201,OURS,1.0000000000000007,0.01626057253572131,0.006278188281456058,0.10610203082410859,4.0
0.2,211,DP,1.0000000000000007,0.04202845415825018,0.03571112446779337,0.09888442137236148,
0.2,211,ITL,1.0000000000000007,0.04076408610846697,0.03655465150361922,0.07864899755209669,
0.2,211,ARMUL,1.0000000000000007,0.04030171755262545,0.03435226256414547,0.0938468124489454,0.1
0.2,211,OURS,1.0000000000000007,0.012654389831563894,0.0012413268252806297,0.11537195688811326,16.0
0.2,221,DP,1.0000000000000007,0.0502966566002302,0.03104791071551381,0.22353536956267775,
0.2,221,ITL,1.0000000000000007,0.0497118193994411,0.03839117747922479,0.15159759668138784,
0.2,221,ARMUL,1.0000000000000007,0.042696981806428135,0.028982553724189293,0.16612683454657773,0.1
0.2,221,OURS,1.0000000000000007,0.012579393353774355,0.0014461034431222436,0.1127790025496433,16.0
0.2,231,DP,1.0000000000000007,0.04066420925358089,0.03398919706141663,0.10073931898305921,
0.2,231,ITL,1.0000000000000007,0.03938271327415905,0.034293094576839926,0.0851892815500311,
0.2,231,ARMUL,1.0000000000000007,0.0376494236470456,0.0312542112805586,0.09520633494542845,0.1
0.2,231,OURS,1.0000000000000007,0.013688344418178384,0.00044634814771383964,0.13286631085235925,16.0
0.2,241,DP,1.0000000000000007,0.04313013136806897,0.034036741195836516,0.124970642918161,
0.2,241,ITL,1.0000000000000007,0.04351112785379658,0.03707418253307279,0.10144363574031068,
0.2,241,ARMUL,1.0000000000000007,0.03907683653090295,0.031179410507509563,0.11015367074144329,0.1
0.2,241,OURS,1.0000000000000007,0.009367671165279222,0.00031520142087008534,0.09083989886496145,16.0
0.2,251,DP,1.0000000000000007,0.04975840812891665,0.0360401472142597,0.1732227563608291,
0.2,251,ITL,1.0000000000000007,0.049826075670577015,0.041148784504007836,0.1279216961696997,
0.2,251,ARMUL,1.0000000000000007,0.044803746157497805,0.03514371364842279,0.13174403873917287,0.1
0.2,251,OURS,1.0000000000000007,0.0119083495666191,0.0033578762542817333,0.0888626093776554,16.0
0.2,261,DP,1.0000000000000007,0.04943740985478844,0.04301812087323288,0.10721101068878858,
0.2,261,ITL,1.0000000000000007,0.050375601823843326,0.04582817316621712,0.09130245974247907,
0.2,261,ARMUL,1.0000000000000007,0.04593675968259186,0.04116504877164465,0.08888215788111686,0.1
0.2,261,OURS,1.0000000000000007,0.008267074911699467,0.0016770824432108655,0.06757700712809685,16.0
0.2,271,DP,1.0000000000000007,0.04758775947746188,0.034909439125511664,0.1616926426450138,
0.2,271,ITL,1.0000000000000007,0.04599736489132663,0.03929175180244882,0.10634788269122687,
0.2,271,ARMUL,1.0000000000000007,0.04238121806948122,0.03342748293840214,0.12296483424919281,0.1
0.2,271,OURS,1.0000000000000007,0.01436657840972472,0.0027777141722228095,0.11866635654724193,16.0
0.2,281,DP,1.0000000000000007,0.046285569760978716,0.040180023754805734,0.10123548381653558,
0.2,281,ITL,1.0000000000000007,0.045555536100436896,0.039674811484699604,0.09848205764207257,
0.2,281,ARMUL,1.0000000000000007,0.043759549757376635,0.037299539084228256,0.10189964581571205,0.1
0.2,281,OURS,1.0000000000000007,0.012471518393889115,0.0020961057509726287,0.10585023218013752,16.0
0.2,291,DP,1.0000000000000007,0.05972818990959818,0.03423040837948868,0.2892082236805837,
0.2,291,ITL,1.0000000000000007,0.055526534794478465,0.04206808833413495,0.17665255293757,
0.2,291,ARMUL,1.0000000000000007,0.049409029965861204,0.03363255013362391,0.19139734845599676,0.1
0.2,291,OURS,1.0000000000000007,0.01705317687760504,0.0007011673166525614,0.16422126292617734,16.0
0.4,1,DP,1.0000000000000007,0.04290885584704099,0.04301236617381595,0.041977262906066404,
0.4,1,ITL,1.0000000000000007,0.043054511029602636,0.042422734242773825,0.04874050211106196,
0.4,1,ARMUL,1.0000000000000007,0.03982621476425181,0.04012645636730475,0.03712404033677544,0.1
0.4,1,OURS,1.0000000000000007,0.007817413237518602,0.002260541108917908,0.05782926239492486,16.0
0.4,11,DP,1.0000000000000007,0.037163451291234856,0.032964569322016433,0.07495338901420058,
0.4,11,ITL,1.0000000000000007,0.03550637365139611,0.03149262624476197,0.07163010031110341,
0.4,11,ARMUL,1.0000000000000007,0.03295600331216536,0.028247423511292363,0.07533322152002232,0.1
0.4,11,OURS,1.0000000000000007,0.013963547451936044,0.0025790026581750604,0.11642445059578488,16.0
0.4,21,DP,1.0000000000000007,0.051424304431972226,0.04609066200261368,0.0994270862961991,
0.4,21,ITL,1.0000000000000007,0.046990000958098015,0.04315441079154119,0.08151031245710927,
0.4,21,ARMUL,1.0000000000000007,0.04866905305734036,0.043192848260219525,0.09795489623142777,0.1
0.4,21,OURS,1.0000000000000007,0.017322960197263357,0.002666645368952687,0.14922979365205935,16.0
0.4,31,DP,1.0000000000000007,0.043760994852889236,0.03974659929400591,0.07989055488283929,
0.4,31,ITL,1.0000000000000007,0.04320645847118782,0.04135739188690861,0.059848057729700664,
0.4,31,ARMUL,1.0000000000000007,0.04203986431998797,0.03829963754963197,0.07570190525319187,0.1
0.4,31,OURS,1.0000000000000007,0.016051002533899177,0.0038986711311410705,0.12542198515872216,8.0
0.4,41,DP,1.0000000000000007,0.0491293898015679,0.04543354791325655,0.08239196679637,
0.4,41,ITL,1.0000000000000007,0.047533236941379745,0.045806730744534806,0.06307179271298428,
0.4,41,ARMUL,1.0000000000000007,0.046677276561894736,0.04283017083308513,0.08130122812118117,0.1
0.4,41,OURS,1.0000000000000007,0.01751467704204778,0.0035973120324064153,0.14277096212882004,16.0
0.4,51,DP,1.0000000000000007,0.044370174983139235,0.03514616489363839,0.12738626578864687,
0.4,51,ITL,1.0000000000000007,0.04258165515799352,0.03629585710809479,0.09915383760708207,
0.4,51,ARMUL,1.0000000000000007,0.0407711861261348,0.03138665385726916,0.1252319765459255,0.1
0.4,51,OURS,1.0000000000000007,0.016060009031125085,0.0004108404462508657,0.1569025262949931,16.0
0.4,61,DP,1.0000000000000007,0.04900800402690756,0.031124089899385508,0.20996323117460605,
0.4,61,ITL,1.0000000000000007,0.044473250528316716,0.03436764207927921,0.13542372656965426,
0.4,61,ARMUL,1.0000000000000007,0.04018310954881155,0.029310653968199322,0.1380352097743216,0.1
0.4,61,OURS,1.0000000000000007,0.013635970851043278,0.0019193216585317743,0.11908581358364682,16.0
0.4,71,DP,1.0000000000000007,0.047107921641559955,0.046001234622870806,0.057068104809762286,
0.4,71,ITL,1.0000000000000007,0.04603843086281009,0.041186447878770224,0.08970627771916884,
0.4,71,ARMUL,1.0000000000000007,0.0446649539030644,0.04324308036127084,0.05746181577920645,0.1
0.4,71,OURS,1.0000000000000007,0.013678556128369235,0.00796255815671756,0.06512253787323428,8.0
0.4,81,DP,1.0000000000000007,0.04704877115714741,0.03861027281474661,0.12299525623875447,
0.4,81,ITL,1.0000000000000007,0.04510003420000989,0.0385612227278285,0.10394933744964237,
0.4,81,ARMUL,1.0000000000000007,0.044591546467004695,0.03578872005143138,0.1238169842071644,0.1
0.4,81,OURS,1.0000000000000007,0.012792634719928532,0.0009947091259359141,0.1189739650658621,16.0
0.4,91,DP,1.0000000000000007,0.05643210977762758,0.038058328249662536,0.2217961435293131,
0.4,91,ITL,1.0000000000000007,0.05007240415507004,0.03986065926764838,0.14197810814186493,
0.4,91,ARMUL,1.0000000000000007,0.05036652249010033,0.03700965160048994,0.17057836049659378,0.1
0.4,91,OURS,1.0000000000000007,0.02172323947819103,0.0013257644675675156,0.20530051457380263,16.0
0.4,101,DP,1.0000000000000007,0.043667749959444606,0.04241931668770798,0.05490364940507428,
0.4,101,ITL,1.0000000000000007,0.044207385872995004,0.042773919128779425,0.057108586570935184,
0.4,101,ARMUL,1.0000000000000007,0.04072054686072993,0.03906305663781772,0.05563795886693976,0.1
0.4,101,OURS,1.0000000000000007,0.00978432662806467,0.0034124005591222866,0.06713166124854611,16.0
0.4,111,DP,1.0000000000000007,0.04980448654236539,0.03990708430746778,0.1388811066564438,
0.4,111,ITL,1.0000000000000007,0.04395490967665715,0.03848573006688346,0.09317752616462026,
0.4,111,ARMUL,1.0000000000000007,0.04712481361215028,0.03827190437790846,0.12680099672032666,0.1
0.4,111,OURS,1.0000000000000007,0.015924898742824364,0.0006053215340118498,0.15380109362213698,16.0
0.4,121,DP,1.0000000000000007,0.04680534348323611,0.04203937274833937,0.08969908009730677,
0.4,121,ITL,1.0000000000000007,0.04706975567716771,0.045032176842879204,0.06540796518576429,
0.4,121,ARMUL,1.0000000000000007,0.04338549607049136,0.03988075310568654,0.07492818275373472,0.1
0.4,121,OURS,1.0000000000000007,0.011893947274927258,0.002199412075398338,0.09914476407068755,16.0
0.4,131,DP,1.0000000000000007,0.03750097353504426,0.031396723613473725,0.09243922282917909,
0.4,131,ITL,1.0000000000000007,0.0332124501684107,0.02878244045504921,0.07308253758866402,
0.4,131,ARMUL,1.0000000000000007,0.033678808215147606,0.027396285250084626,0.09022151490071444,0.1
0.4,131,OURS,1.0000000000000007,0.02018421206977937,0.004120288837403918,0.16475952116115844,8.0
0.4,141,DP,1.0000000000000007,0.04099586449896912,0.032155389563344385,0.12056013891959193,
0.4,141,ITL,1.0000000000000007,0.041554088124989286,0.033517481021930154,0.11388355205252139,
0.4,141,ARMUL,1.0000000000000007,0.03811761368798789,0.028859199341732214,0.12144334280428896,0.1
0.4,141,OURS,1.0000000000000007,0.016029725589153606,0.001902226097049554,0.1431772210180901,16.0
0.4,151,DP,1.0000000000000007,0.05587830500061806,0.03871131765127122,0.21038119114473955,
0.4,151,ITL,1.0000000000000007,0.047180217824003355,0.04010803547133191,0.11082985899804637,
0.4,151,ARMUL,1.0000000000000007,0.046004331345478086,0.03609335912695567,0.13520308131217998,0.1
0.4,151,OURS,1.0000000000000007,0.02340878372585883,0.00249886649835665,0.21159803877337846,8.0
0.4,161,DP,1.0000000000000007,0.03956956350907541,0.03734897404816757,0.05955486865724605,
0.4,161,ITL,1.0000000000000007,0.040974134412645524,0.037280710979111266,0.07421494531445384,
0.4,161,ARMUL,1.0000000000000007,0.037355586601170394,0.03473704138682106,0.06092249353031435,0.1
0.4,161,OURS,1.0000000000000007,0.006902303906130528,0.0010883316363726162,0.059228054333951737,8.0
0.4,171,DP,1.0000000000000007,0.043480219849977776,0.039975461464228035,0.07502304532172545,
0.4,171,ITL,1.0000000000000007,0.0425276664887977,0.037312105689102544,0.08946771368605407,
0.4,171,ARMUL,1.0000000000000007,0.04095364147465985,0.0371033902450931,0.07560590254076052,0.1
0.4,171,OURS,1.0000000000000007,0.010489919608330667,0.0007215680448482043,0.09840508367967282,16.0
0.4,181,DP,1.0000000000000007,0.043552277539111756,0.03246842478883402,0.14330695229161147,
0.4,181,ITL,1.0000000000000007,0.041057934569923855,0.03444640916442846,0.10056166321938233,
0.4,181,ARMUL,1.0000000000000007,0.03900972276992667,0.03058895937610297,0.11479659331433996,0.1
0.4,181,OURS,1.0000000000000007,0.015739393825511837,0.004572604274011786,0.1162404997890123,8.0
0.4,191,DP,1.0000000000000007,0.04715793056613907,0.03938594215951317,0.11710582622577222,
0.4,191,ITL,1.0000000000000007,0.048266509345013135,0.042224727424063246,0.10264254663356209,
0.4,191,ARMUL,1.0000000000000007,0.044133121153097546,0.036172085460761935,0.11578244238411795,0.1
0.4,191,OURS,1.0000000000000007,0.00938486684526434,0.001307237969854015,0.08208352672395725,16.0
0.4,201,DP,1.0000000000000007,0.053227311580322116,0.04871822517966059,0.09380908918627594,
0.4,201,ITL,1.0000000000000007,0.05104730891883372,0.04699160817706286,0.08754861559477134,
0.4,201,ARMUL,1.0000000000000007,0.05138006636240865,0.046656458104263665,0.09389254068571357,0.1
0.4,201,OURS,1.0000000000000007,0.017088374154695656,0.0064160704561030835,0.11313910744202882,4.0
0.4,211,DP,1.0000000000000007,0.04322405219478514,0.03706301302304474,0.09867340474044882,
0.4,211,ITL,1.0000000000000007,0.041823434843260655,0.037731705653389985,0.07864899755209669,
0.4,211,ARMUL,1.0000000000000007,0.04135054895578129,0.03552723471400461,0.09376037713177147,0.1
0.4,211,OURS,1.0000000000000007,0.012935834390243251,0.0008405952498792092,0.12179298665351963,16.0
0.4,221,DP,1.0000000000000007,0.05115980154822516,0.032188263220681704,0.22190364649611616,
0.4,221,ITL,1.0000000000000007,0.05066506551081461,0.03945033982519535,0.15159759668138784,
0.4,221,ARMUL,1.0000000000000007,0.04343536795101191,0.029892695007311777,0.16531942444431305,0.1
0.4,221,OURS,1.0000000000000007,0.012499125211237354,0.0011259196089162063,0.1148579756321277,16.0
0.4,231,DP,1.0000000000000007,0.042032034985276974,0.03551989807875208,0.10064126714400108,
0.4,231,ITL,1.0000000000000007,0.04058976653179295,0.03563426486309982,0.0851892815500311,
0.4,231,ARMUL,1.0000000000000007,0.038734730270083756,0.032457997008748386,0.09522532962210213,0.1
0.4,231,OURS,1.0000000000000007,0.014912241515894218,0.0011667125404573634,0.1386220022948259,16.0
0.4,241,DP,1.0000000000000007,0.04424502608567816,0.03538073602392228,0.12402363664148112,
0.4,241,ITL,1.0000000000000007,0.044552058241994645,0.03823077185329287,0.10144363574031068,
0.4,241,ARMUL,1.0000000000000007,0.039856338366957816,0.03210707881328445,0.10959967435001815,0.1
0.4,241,OURS,1.0000000000000007,0.010239832979332444,0.0012112187991120407,0.09149736060131607,16.0
0.4,251,DP,1.0000000000000007,0.051020390548287414,0.03765811213466799,0.17128089627086232,
0.4,251,ITL,1.0000000000000007,0.05121854816358063,0.042695976162900724,0.1279216961696997,
0.4,251,ARMUL,1.0000000000000007,0.04604127509055489,0.03664183964468816,0.13063619410335556,0.1
0.4,251,OURS,1.0000000000000007,0.01158517669952475,0.0031368085911397925,0.08762048967498935,8.0
0.4,261,DP,1.0000000000000007,0.0503554518227461,0.04412764191999129,0.10640574094753948,
0.4,261,ITL,1.0000000000000007,0.05120583654635682,0.04675065619123212,0.09130245974247907,
0.4,261,ARMUL,1.0000000000000007,0.04663526421979331,0.041995092249803516,0.0883968119497015,0.1
0.4,261,OURS,1.0000000000000007,0.008159267439032315,0.0017113517196952232,0.06619050891306615,16.0
0.4,271,DP,1.0000000000000007,0.04848285289134655,0.03600080191632993,0.1608213116664961,
0.4,271,ITL,1.0000000000000007,0.04694067250623661,0.040339871374571026,0.10634788269122687,
0.4,271,ARMUL,1.0000000000000007,0.04326862033199865,0.034455859302052756,0.12258346960151172,0.1
0.4,271,OURS,1.0000000000000007,0.012880251111906655,0.0010912925334046757,0.11898087831842448,16.0
0.4,281,DP,1.0000000000000007,0.04741925323930737,0.04147007401885164,0.1009618662234089,
0.4,281,ITL,1.0000000000000007,0.04654353680365481,0.040772590043830624,0.09848205764207257,
0.4,281,ARMUL,1.0000000000000007,0.0446774300258279,0.038350226317486094,0.10162226340090415,0.1
0.4,281,OURS,1.0000000000000007,0.014490813191679755,0.0038002825174376646,0.11070558925985859,8.0
0.4,291,DP,1.0000000000000007,0.060787211304193164,0.03563881066721361,0.28712281703700915,
0.4,291,ITL,1.0000000000000007,0.05677146406863073,0.04345134308319303,0.17665255293757,
0.4,291,ARMUL,1.0000000000000007,0.050465735136254415,0.034919024520217105,0.1903861306805902,0.1
0.4,291,OURS,1.0000000000000007,0.017593118300514996,0.0010916686093535497,0.16610616552096805,16.0
0.8,1,DP,1.0000000000000007,0.046215459001847994,0.046758773153103575,0.04132563164054771,
0.8,1,ITL,1.0000000000000007,0.04583975079498246,0.045517445093195844,0.04874050211106196,
0.8,1,ARMUL,1.0000000000000007,0.04224114074588638,0.04284991025150178,0.036762215195347774,0.1
0.8,1,OURS,1.0000000000000007,0.007322932380946641,0.0014520158134040616,0.06016118148882987,16.0
0.8,11,DP,1.0000000000000007,0.03971467235976944,0.035811027689696386,0.07484747439042695,
0.8,11,ITL,1.0000000000000007,0.037605116246195475,0.0338245624612057,0.07163010031110341,
0.8,11,ARMUL,1.0000000000000007,0.03473486913158314,0.030244820520504336,0.07514530663129239,0.1
0.8,11,OURS,1.0000000000000007,0.015537374223754681,0.0037442053994018684,0.12167589364293001,8.0
0.8,21,DP,1.0000000000000007,0.05358099955807839,0.04843492122797554,0.09989570452900413,
0.8,21,ITL,1.0000000000000007,0.04873576493551287,0.04509414854422438,0.08151031245710927,
0.8,21,ARMUL,1.0000000000000007,0.050463855713307665,0.0451534690802708,0.09825733541063945,0.1
0.8,21,OURS,1.0000000000000007,0.018611107013156842,0.0035952373266730847,0.15375393419151062,16.0
0.8,31,DP,1.0000000000000007,0.046136381544330314,0.04235070052365701,0.0802075107303901,
0.8,31,ITL,1.0000000000000007,0.04524984006160588,0.04362781587626201,0.059848057729700664,
0.8,31,ARMUL,1.0000000000000007,0.04413280151996703,0.040572719887967096,0.07617353620796646,0.1
0.8,31,OURS,1.0000000000000007,0.015886676209454827,0.0035761699951058186,0.12668123213859592,16.0
0.8,41,DP,1.0000000000000007,0.0519935762118451,0.04850166681642552,0.08342076077062131,
0.8,41,ITL,1.0000000000000007,0.04991502276985417,0.04845315944283972,0.06307179271298428,
0.8,41,ARMUL,1.0000000000000007,0.04896687010765059,0.04527992921252265,0.08214933816380211,0.1
0.8,41,OURS,1.0000000000000007,0.01827429378152493,0.0032575120805255564,0.15342532909051929,16.0
0.8,51,DP,1.0000000000000007,0.0464180407425148,0.03744457536814728,0.12717922911182253,
0.8,51,ITL,1.0000000000000007,0.04436859196155006,0.03828134244537983,0.09915383760708207,
0.8,51,ARMUL,1.0000000000000007,0.04241879807759694,0.03322355445884006,0.12517599064640889,0.1
0.8,51,OURS,1.0000000000000007,0.01699461433556398,0.001428528741617047,0.15708938468108638,16.0
0.8,61,DP,1.0000000000000007,0.0515583046646153,0.0343528565651888,0.20640733755945384,
0.8,61,ITL,1.0000000000000007,0.04702854120363823,0.037206853940747575,0.13542372656965426,
0.8,61,ARMUL,1.0000000000000007,0.04238402709224019,0.03197397540270624,0.1360744922980457,0.1
0.8,61,OURS,1.0000000000000007,0.013489301733754759,0.0017371694950634375,0.11925849188197664,16.0
0.8,71,DP,1.0000000000000007,0.04934222154878394,0.048509162119856085,0.0568397564091346,
0.8,71,ITL,1.0000000000000007,0.047922905200746886,0.04328030825425556,0.08970627771916884,
0.8,71,ARMUL,1.0000000000000007,0.046783232089034746,0.04562316425162389,0.05722384262573246,0.1
0.8,71,OURS,1.0000000000000007,0.012827145949585365,0.0067719627443711,0.06732379479651375,16.0
0.8,81,DP,1.0000000000000007,0.04990233533387966,0.041906208565621265,0.12186747624820526,
0.8,81,ITL,1.0000000000000007,0.047616493468495745,0.041357288581701686,0.10394933744964237,
0.8,81,ARMUL,1.0000000000000007,0.046603475532152785,0.038111084262414774,0.12303499695979485,0.1
0.8,81,OURS,1.0000000000000007,0.013401446948026492,0.0012742128985684174,0.12254655339314917,16.0
0.8,91,DP,1.0000000000000007,0.05926741465917456,0.04132487561151554,0.22075026608810586,
0.8,91,ITL,1.0000000000000007,0.05261691946889148,0.04268789850522776,0.14197810814186493,
0.8,91,ARMUL,1.0000000000000007,0.05274235499744915,0.039667099394291624,0.1704196554258669,0.1
0.8,91,OURS,1.0000000000000007,0.026064334956415216,0.00572947566049883,0.20907806861966263,4.0
0.8,101,DP,1.0000000000000007,0.04657782446963633,0.04569957871906936,0.054482036224739065,
0.8,101,ITL,1.0000000000000007,0.046698987089738325,0.04554236492516089,0.057108586570935184,
0.8,101,ARMUL,1.0000000000000007,0.0431072857377084,0.041761659803395294,0.05521791914652641,0.1
0.8,101,OURS,1.0000000000000007,0.010528820790860103,0.003960779370410917,0.06964119357490278,16.0
