Name,Address,gmap_id,description,Latitude,Longitude,category,Aggregate Rating,num_of_reviews,price,hours,MISC,City,state
West Bluff Park,"West Bluff Park, 2408 Alamogordo Dr NW, Albuquerque, NM 87120",0x872272c6cd82de41:0x1a76d648817ecd7e,,35.1098873,-106.6944357,['Tourist attraction'],4.5,305,,"[['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Musical Highway,"Musical Highway, 310 U.S. Rte 66, Albuquerque, NM 87123",0x8718a3c93a06902f:0x23fd8a1ac489532f,,35.0688353,-106.4194395,['Tourist attraction'],2.8,8,,,{'Amenities': ['Good for kids']},Albuquerque,New Mexico
Telephone Pioneer Museum,"Telephone Pioneer Museum, 110 4th St NW, Albuquerque, NM 87102",0x87220cb8b9a18dc3:0xd1b5a15967d6e0e9,,35.085164299999995,-106.651328,"['Museum', 'Tourist attraction']",4.7,32,,"[['Monday', '10AM??1:30PM'], ['Tuesday', 'Closed'], ['Wednesday', '10AM??1:30PM'], ['Thursday', 'Closed'], ['Friday', '10AM??1:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids', 'Restaurant']}",Albuquerque,New Mexico
Greetings from Burque mural,"Greetings from Burque mural, 3123 Central Ave NE, Albuquerque, NM 87106",0x87220b66cf1a89f5:0xa550c5caf4866222,,35.0807043,-106.6099182,['Tourist attraction'],5.0,8,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Well Behaved Women Never Make History Mural,"Well Behaved Women Never Make History Mural, 529 Adams St NE, Albuquerque, NM 87108",0x87220b8c90bd44a7:0xa420b6ad7adbf390,,35.0871853,-106.594571,['Tourist attraction'],3.9,7,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Tunnel Spring Trailhead,"Tunnel Spring Trailhead, 98 Tunnel Springs Rd, Albuquerque, NM 87122",0x87189b57ebc0794d:0xbbf1a8184f4dec3c,,35.2914204,-106.4393922,"['Park', 'Tourist attraction']",4.6,26,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
North crest trail,"North crest trail, Albuquerque, NM 87122",0x87189c0d7b243457:0xb0b9a044fd18e898,,35.2331059,-106.451842,"['Hiking area', 'Tourist attraction']",4.5,8,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
South San Jose Park,"South San Jose Park, Albuquerque, NM 87102",0x87220c61028cfcf9:0x27b9f61f73fa4e44,,35.0545651,-106.6495781,"['Park', 'Tourist attraction']",4.1,98,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Amapola Gallery,"Amapola Gallery, 205 Romero St NW D, Albuquerque, NM 87104",0x87220cd483052ec5:0xdb5e8dc61c3202d1,"Diverse collection of the works of 30+ artists, including paintings, ceramics, jewelry & fiber art.",35.0961937,-106.6706345,"['Art gallery', 'Tourist attraction']",4.9,16,,"[['Sunday', '10AM??5PM'], ['Monday', '10AM??5PM'], ['Tuesday', '10AM??5PM'], ['Wednesday', '10AM??5PM'], ['Thursday', '10AM??5PM'], ['Friday', '10AM??5PM'], ['Saturday', '10AM??5PM']]",,Albuquerque,New Mexico
Trumbull Park,"Trumbull Park, 419 Pennsylvania St SE, Albuquerque, NM 87108, United States",0x87220a5feb70ba5b:0x6edc865062167fc,,35.0699507,-106.5598276,"['Park', 'Tourist attraction']",3.4,107,,"[['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM']]","{'Accessibility': ['Wheelchair-accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Piedras Marcadas Park,"Piedras Marcadas Park, 3904 Rancho Centro NW, Albuquerque, NM 87120",0x872273d355d08207:0xd28c7d59133827a9,,35.1769484,-106.6760157,"['Park', 'Tourist attraction']",4.4,113,,"[['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
ABQ BioPark Aquarium,"ABQ BioPark Aquarium, 2601 Central Ave NW, Albuquerque, NM 87104, United States",0x87220d2a464cfdc5:0x90b973bbc497c11c,Spacious aquarium featuring tanks with hundreds of fish plus a theater showing educational films.,35.0931563,-106.6792669,"['Aquarium', 'Tourist attraction']",4.6,3369,,"[['Sunday', '9AM??5PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '9AM??5PM'], ['Thursday', '9AM??5PM'], ['Friday', '9AM??5PM'], ['Saturday', '9AM??5PM']]","{'Accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Cliff's Amusement Park,"Cliff's Amusement Park, 4800 Osuna Rd NE, Albuquerque, NM 87109, United States",0x872274fb70a8baaf:0xc4cfbb8511b54c1,"Amusement park with seasonal hours featuring rides, roller coasters, games, a water park & more.",35.1432329,-106.5881259,"['Amusement park', 'Tourist attraction', 'Water park']",4.4,2897,,,"{'From the business': ['Identifies as women-led'], 'Accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible toilet', 'Wheelchair rental'], 'Amenities': ['Good for kids', 'Restaurant'], 'Planning': ['Usually a wait']}",Albuquerque,New Mexico
Raymac Park,"Raymac Park, 2805 Morton Ln SW, Albuquerque, NM 87105",0x87220e225148df5b:0xccdf31ca45b8f7fa,,34.9820011,-106.7150216,"['Park', 'Tourist attraction']",4.5,78,,"[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Old Town Plaza,"Old Town Plaza, 200 N Plaza St NW, Albuquerque, NM 87104",0x87220cd3669386ff:0x1d2892954ff71c95,Square at the point where Spanish Governor Cuervo y Valdes officially founded Albuquerque in 1706.,35.09608,-106.6699146,"['Park', 'Tourist attraction']",4.6,3367,,"[['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Arroyo del Oso Park,"Arroyo del Oso Park, 7001 Osuna Rd NE, Albuquerque, NM 87109",0x87227511640146c5:0x206a8b88dffe777,"Recreational getaway offering walking trails, a soccer field & other sports courts.",35.1390715,-106.5560764,"['Park', 'Tourist attraction']",4.5,855,,"[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Piedra Lisa Canyon Trail,"Piedra Lisa Canyon Trail, 13225 Menaul Blvd NE, Albuquerque, NM 87111",0x8718a033bfd778ab:0x894f8abb02d5b38c,,35.1114767,-106.4831819,"['Park', 'Tourist attraction']",4.6,118,,"[['Monday', '6AM??7PM'], ['Tuesday', '6AM??7PM'], ['Wednesday', '6AM??7PM'], ['Thursday', '6AM??7PM'], ['Friday', '6AM??7PM'], ['Saturday', '6AM??7PM'], ['Sunday', '6AM??7PM']]",{'Amenities': ['Good for kids']},Albuquerque,New Mexico
Little Cloud Park,"Little Cloud Park, 1850 San Bernardino Dr NE, Albuquerque, NM 87122",0x87189e51149c4ea9:0x6e3b1dc6198f2a83,,35.1717298,-106.4954259,"['Park', 'Tourist attraction']",4.6,58,,"[['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Eye of the Sandias,"Eye of the Sandias, Albuquerque, NM 87123",0x8718a10cee4969f7:0x85d7dfb3c4f24eaa,,35.079101699999995,-106.4844646,"['Hiking area', 'Tourist attraction']",4.6,18,,"[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Bugarium,"Bugarium, 2601 Central Ave NW, Albuquerque, NM 87104",0x87220d2bbed08615:0x5ea9fe7d93e497af,Complex at ABQ BioPark with live insects & arachnids from around the world & interactive encounters.,35.0923977,-106.680389,"['Museum', 'Tourist attraction']",4.9,38,,"[['Friday', '9AM??5PM'], ['Saturday', '9AM??6PM'], ['Sunday', '9AM??6PM'], ['Monday', '9AM??5PM'], ['Tuesday', '9AM??5PM'], ['Wednesday', '9AM??5PM'], ['Thursday', '9AM??5PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids', 'Restaurant']}",Albuquerque,New Mexico
Patricia Cassidy Park,"Patricia Cassidy Park, 11900 Summer Wind Pl NE, Albuquerque, NM 87122",0x87189e41729fd50b:0x2ab248b63c20505d,,35.181403,-106.5067499,"['Park', 'Tourist attraction']",4.6,35,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Wheels Museum Inc,"Wheels Museum Inc, 1100 2nd St SW, Albuquerque, NM 87102",0x87220cb39715c717:0xd586192008dafa72,,35.074142,-106.6510991,"['Museum', 'Tourist attraction']",4.2,58,,"[['Wednesday', '9AM??12PM'], ['Thursday', '9AM??12PM'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM??12PM'], ['Tuesday', '9AM??12PM']]","{'Amenities': ['Good for kids', 'Restaurant']}",Albuquerque,New Mexico
Casa Grande Linear Park,"Casa Grande Linear Park, Albuquerque, NM 87111",0x87189f87385c1327:0xddd2f96eccfb8b55,,35.1224108,-106.4938681,"['Park', 'Tourist attraction']",4.5,44,,,,Albuquerque,New Mexico
Elena Gallegos Open Space,"Elena Gallegos Open Space, 7100 Tramway Blvd NE, Albuquerque, NM 87122",0x87189f1edab675c3:0x7e38ccf27392893e,"Easygoing park offering a series of mountain biking & hiking trails, mountain views & picnic spots.",35.1617554,-106.473671,"['Park', 'Tourist attraction']",4.8,147,,"[['Monday', '7AM??9PM'], ['Tuesday', '7AM??9PM'], ['Wednesday', '7AM??9PM'], ['Thursday', '7AM??9PM'], ['Friday', '7AM??9PM'], ['Saturday', '7AM??9PM'], ['Sunday', '7AM??9PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Kiva Park,"Kiva Park, 3107 Cuervo Dr NE, Albuquerque, NM 87110",0x872274d62ec1e509:0xc863df5c79c082d9,,35.1175562,-106.5824424,"['Park', 'Tourist attraction']",4.3,98,,"[['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
"Musical Highway, America the Beautiful. Eastbound","Musical Highway, America the Beautiful. Eastbound, U.S. Rte 66, Albuquerque, NM 87123",0x8718a3bed1f20297:0xa05af544ea35b387,,35.0742682,-106.41342,['Tourist attraction'],3.7,113,,"[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Riverview Park,"Riverview Park, 4500 Butterfield Trail NW, Albuquerque, NM 87120",0x872272256ab106e7:0x521225c7ea17f687,,35.1711701,-106.6895254,"['Park', 'Tourist attraction']",4.3,58,,,{'Amenities': ['Good for kids']},Albuquerque,New Mexico
City View Park,"City View Park, Albuquerque, NM 87123",0x8718a055e1ad6dbb:0x96abfd671c7f97b7,,35.0811017,-106.4934139,"['Park', 'Tourist attraction']",4.4,156,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Paseo De Estrella Park,"Paseo De Estrella Park, 800 Vista Monte Dr NE, Albuquerque, NM 87113",0x87227469325999d9:0xd2cc428100a32238,,35.1629273,-106.6112632,"['Park', 'Tourist attraction']",4.1,58,,"[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Madonna Of The Trail,"Madonna Of The Trail, 323 Marble Ave NW, Albuquerque, NM 87102",0x87220cb6f812f721:0x6c2c300336f742e4,,35.0928864,-106.6498095,"['Landmark', 'Tourist attraction']",4.4,8,,,,Albuquerque,New Mexico
Vista Verde Park,"Vista Verde Park, 9898 Hannett Pl NE, Albuquerque, NM 87112",0x87220aa0906c53d3:0xf3ac9e6934f2317d,,35.0981486,-106.5356307,"['Park', 'Tourist attraction']",4.5,123,,"[['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Valley Gardens Park,"Valley Gardens Park, 4629 Sorrel Ln SW, Albuquerque, NM 87105",0x87220de26ae27289:0xe874757e997d650d,,35.007951,-106.707369,"['Park', 'Tourist attraction']",4.2,128,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
San Felipe de Neri Church,"San Felipe de Neri Church, 2005 N Plaza St NW, Albuquerque, NM 87104",0x872273855987448f:0xa1d6b54c6d39ac4c,This adobe church founded in 1706 & rebuilt in 1793 is one of the city's oldest buildings.,35.0965826,-106.6697369,"['Catholic church', 'Tourist attraction']",4.7,556,,,"{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']}",Albuquerque,New Mexico
Grisham Park,"Grisham Park, 3119 Tiley Dr NE, Albuquerque, NM 87110",0x872274c5dd86b487:0x19120410d79c47b4,,35.119734,-106.599288,"['Park', 'Tourist attraction']",4.3,328,,"[['Sunday', '7AM??10PM'], ['Monday', '7AM??10PM'], ['Tuesday', '7AM??10PM'], ['Wednesday', '7AM??10PM'], ['Thursday', '7AM??10PM'], ['Friday', '7AM??10PM'], ['Saturday', '7AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Petroglyph National Monument,"Petroglyph National Monument, Western Trail NW, Albuquerque, NM 87120",0x87226c5a118c04c9:0xafb5958da022b2f2,Archaeological site showcasing thousands of prehistoric Native American drawings on stone walls.,35.1367817,-106.7405057,"['National park', 'Park', 'Tourist attraction']",4.6,2775,,"[['Sunday', '8:30AM??4:30PM'], ['Monday', '8:30AM??4:30PM'], ['Tuesday', '8:30AM??4:30PM'], ['Wednesday', '8:30AM??4:30PM'], ['Thursday', '8:30AM??4:30PM'], ['Friday', '8:30AM??4:30PM'], ['Saturday', '8:30AM??4:30PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
New Mexico Steam Locomotive is CLOSED to Visitors,"New Mexico Steam Locomotive is CLOSED to Visitors, 1833 8th St NW, Albuquerque, NM 87102",0x87227335a33430bf:0x929bf441d357db0a,,35.103397,-106.6547259,"['Tourist attraction', 'Non-profit organization', 'Rail museum']",4.9,127,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Salida del Sol Park,"Salida del Sol Park, 4419 Driftwood Ave NW, Albuquerque, NM 87114",0x87227108537b03e9:0x95e407037d5933bf,,35.2120565,-106.6740167,"['Park', 'Tourist attraction']",4.4,105,,"[['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Ventana West Park,"Ventana West Park, 10327 Avenida Vista Cerros NW, Albuquerque, NM 87114",0x87226e46d4ee7fe7:0x74a5f026fd7a126d,,35.1986458,-106.7501819,"['Park', 'Tourist attraction']",4.4,96,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Laurelwood Park,"Laurelwood Park, Albuquerque, NM 87120",0x872272a87e455bbf:0x89edd0b2194b7661,,35.1009561,-106.7206385,['Tourist attraction'],4.2,95,,"[['Friday', '8AM??10PM'], ['Saturday', '8AM??10PM'], ['Sunday', '8AM??10PM'], ['Monday', '8AM??10PM'], ['Tuesday', '8AM??10PM'], ['Wednesday', '8AM??10PM'], ['Thursday', '8AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Palace West Casino,"Palace West Casino, 2 NM-45, Albuquerque, NM 87105",0x87220d38242f1a2f:0x8696fdfaf05916b2,"Bare-bones gambling spot with slot machines in a basic, no-frills space.",34.9026761,-106.7083141,"['Casino', 'Tourist attraction']",4.0,783,,"[['Friday', '8AM??2AM'], ['Saturday', '8AM??2AM'], ['Sunday', '8AM??2AM'], ['Monday', '8AM??2AM'], ['Tuesday', '8AM??2AM'], ['Wednesday', '8AM??2AM'], ['Thursday', '8AM??2AM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Restaurant']}",Albuquerque,New Mexico
Historic Microsoft Headquarters Plaque,"Historic Microsoft Headquarters Plaque, 115 California St NE, Albuquerque, NM 87108",0x87220afb6787f237:0x54e1ab48ab5295ee,,35.0773207,-106.5754731,['Tourist attraction'],4.1,58,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Cruising San Mateo 1,"Cruising San Mateo 1, San Mateo Blvd SE, Albuquerque, NM 87108",0x87220babeab45b87:0xcca1eedb88b71eff,,35.0585717,-106.5867987,"['Historical landmark', 'Tourist attraction']",3.9,47,,"[['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Wildflower Park,"Wildflower Park, San Mateo Blvd NE, Albuquerque, NM 87108",0x8722742eb8931b63:0x52febe6d8d0e38d9,,35.1882743,-106.5889773,"['Park', 'Tourist attraction']",4.4,166,,"[['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Albucreepy Ghost Walk,"Albucreepy Ghost Walk, Inside Hotel Albuquerque, 800 Rio Grande Blvd NW, Albuquerque, NM 87104",0x87220cb9292a2cc5:0x2b5e0110b96036fa,,35.1001165,-106.6692908,"['Tour operator', 'Tourist attraction']",4.1,18,,,,Albuquerque,New Mexico
High Desert Park,"High Desert Park, 13100 Academy Rd NE, Albuquerque, NM 87111",0x87189fa700e2edf3:0xfcdd2ce2639ece06,,35.1529765,-106.4897436,"['Park', 'Tourist attraction']",4.7,128,,"[['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
