V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'B')]; mono_vars: ['c', 'd', 's', 'e', 'f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('B', 's')]; S_plus:('P', 'A', 'Q', 'D'); T_star:[('B', 'A')]; mono_vars: ['f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('B', 's')]; S_plus:('P', 'A', 'Q', 'D'); T_star:[('B', 'D')]; mono_vars: ['f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'R'), ('B', 's')]; S_plus:('r', 'A', 'R'); T_star:[('B', 'A')]; mono_vars: ['b', 'd', 's', 'e', 'f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'R'), ('B', 's')]; S_plus:('r', 'A', 'R'); T_star:[('B', 'D')]; mono_vars: ['b', 'e', 'f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('B', 's')]; S_plus:('P', 'A', 'D', 'R'); T_star:[('B', 'A')]; mono_vars: ['f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('B', 's')]; S_plus:('P', 'A', 'D', 'R'); T_star:[('B', 'D')]; mono_vars: ['f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('B', 's')]; S_plus:('R', 'D', 'A', 'Q'); T_star:[('B', 'A')]; mono_vars: ['f']
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('B', 's')]; S_plus:('R', 'D', 'A', 'Q'); T_star:[('B', 'D')]; mono_vars: ['f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'B'), ('A', 'D')]; mono_vars: ['b', 'c', 's', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'B'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'B'), ('B', 'D')]; mono_vars: ['c', 's', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'D'), ('B', 'D')]; mono_vars: ['b', 'c', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's'), ('B', 's')]; S_plus:('P', 'D'); T_star:[('A', 'X'), ('B', 'D')]; mono_vars: ['b', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'B'), ('A', 'D')]; mono_vars: ['b', 'c', 's', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'B'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'B'), ('B', 'D')]; mono_vars: ['c', 's', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'D'), ('B', 'D')]; mono_vars: ['b', 'c', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's'), ('B', 's')]; S_plus:('P', 'Q', 'D'); T_star:[('A', 'X'), ('B', 'D')]; mono_vars: ['b', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'B'), ('A', 'D')]; mono_vars: ['b', 'c', 's', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'B'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'B'), ('B', 'D')]; mono_vars: ['c', 's', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'D'), ('B', 'D')]; mono_vars: ['b', 'c', 'e', 'f']
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('B', 's')]; S_plus:('D', 'R', 'Q'); T_star:[('A', 'X'), ('B', 'D')]; mono_vars: ['b', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'X')]; mono_vars: ['b', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 's'); T_star:[('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'X')]; mono_vars: ['b', 'f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D')]; S_plus:('P', 'A', 'B'); T_star:[('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'A')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'B')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'X')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'Y')]; mono_vars: []
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'X')]; mono_vars: ['b', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 's', 'R'); T_star:[('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'A')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'B')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'X')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'R'); T_star:[('D', 'Y')]; mono_vars: []
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'X')]; mono_vars: ['b', 'f']
V_star:['D']; S_minus:[('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('s', 'Q', 'R'); T_star:[('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'A')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'B')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'X')]; mono_vars: ['f']
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('R', 'Q', 'A', 'B'); T_star:[('D', 'Y')]; mono_vars: []
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('A', 'D')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('D', 'B')]; mono_vars: ['c', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'X'), ('D', 'B')]; mono_vars: ['d', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('D', 'X')]; mono_vars: ['f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'X'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'B'), ('D', 'Y')]; mono_vars: ['s', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B'); T_star:[('A', 'X'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('A', 'D')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('D', 'B')]; mono_vars: ['c', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'X'), ('D', 'B')]; mono_vars: ['d', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('D', 'X')]; mono_vars: ['f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'X'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'B'), ('D', 'Y')]; mono_vars: ['s', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('P', 'B', 'R'); T_star:[('A', 'X'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('A', 'D')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('A', 'X')]; mono_vars: ['b', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('D', 'B')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('D', 'B')]; mono_vars: ['c', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'X'), ('D', 'B')]; mono_vars: ['d', 'e', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('D', 'X')]; mono_vars: ['f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'X'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'B'), ('D', 'Y')]; mono_vars: ['s', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['A', 'D']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's'), ('r', 'D')]; S_plus:('Q', 'R', 'B'); T_star:[('A', 'X'), ('D', 'Y')]; mono_vars: ['b', 'e']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('B', 'D')]; mono_vars: ['c', 'd', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('D', 'A')]; mono_vars: ['b', 'c', 'd', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'D'), ('D', 'A')]; mono_vars: ['b', 'c', 'e', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'D'), ('D', 'X')]; mono_vars: ['b', 'f']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'A'), ('D', 'Y')]; mono_vars: ['b', 's', 'e']
V_star:['B', 'D']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'P'), ('r', 'D'), ('B', 's')]; S_plus:('P', 'A'); T_star:[('B', 'D'), ('D', 'Y')]; mono_vars: ['b', 'e']
